,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
LogS,0.9508922025200252,1.6460687924982775,1.5993370426413605,0.8924070761117823,0.23959708501794819,0.42845258397310226,1.144589606490067,3.7401875806606597,2.209877498654863,1.3170585329143656,0.8071660622247712,0.36065639455566745,3.5462903419504026,0.4807285076473213,0.4566433510198286,0.2035299428224165,0.014484719136254105,0.28651883184436194,0.008366679758961663,1.5083487942799625,0.0012777130681127886,0.06931424019184336,0.012096208479527124,1.2689717707256836,0.024660318553038827,0.7994894954476032,2.200611413809666,0.20965758935000567,0.10587495356426722,3.8852791786250997,1.722971824777375,0.061122315637606554,0.44037142118920103,0.03548883759964188,0.10831024613461683,0.13158210051602576,0.39979605372407917
LogD,1.817203831325678,1.3762604320930187,0.02998656096240706,2.9768812600239474,0.6357253090170545,0.1592848054631516,0.06350583022158732,0.033055402893273016,5.3564728722159,0.026442800975034365,1.5362099377991387,0.10453218582182006,1.9883451111098696,0.12692081605790684,0.08567616018617201,0.5932274303672791,0.03813272287151502,0.8588690060293711,0.3639572506530521,0.05168052434828914,1.3685155499265993,0.8829119876767688,0.5510051988098217,0.00021928963287073098,0.4796569153708656,1.1934860142969115,0.9838249992582202,0.1345793573849497,0.053322409282753676,1.2433513889581556,0.31287295332655535,0.17993397513772336,1.6479631711699578e-05,0.011302114506816818,0.3695690886420511,0.17139397595976386,0.10757970985643872
LogP,1.6800145649352611,1.5628184993483192,0.1854968247861589,2.5538328986879684,0.16059533892704717,0.2750461744799792,0.738633188862665,1.102922258572393,5.701236653369646,0.0037360522377317597,0.285467600040599,0.00676627566871035,3.4146556794580727,0.17212397950286312,0.2823899951701475,0.8374339859516778,0.06850398221036388,0.9265713094052451,0.032556483013243924,0.00011000996081757131,0.4648708147770373,0.05055814218486747,0.1590570888049813,0.034521676184274784,0.03018901095854861,0.3611067616631263,0.05640131102221097,0.05672853710928543,0.032840963201536115,1.68017744577455,0.026902953778597027,0.01665279136589364,0.11123572894473914,0.05479832611846541,1.5187424472093665,0.2100051788848872,0.30503454440060274
Pgp-inh,1.3316587907942177,1.0133770307018148,0.06489446057589125,0.039323225391003955,1.406133969497861,6.354866810097739,0.6840037445403475,0.018159315395470985,4.1343295845740125,0.9330029078670344,0.1310720430111974,0.1942248734983395,0.24196640326126376,0.10869148048393848,0.5280838795734718,0.6914862505749708,0.027259346151546654,0.004097831717771786,0.3379324823072725,0.09367487139462367,0.3549895204511135,0.1774054606067566,0.8542743299549533,0.5550717396565671,0.05939008802134741,0.04915764336517406,3.189106053043004,3.1830582309144124,1.9610355187518438,0.16133115190809894,0.18245006423233315,2.260836061198036,0.1261384099221904,2.564598327618502,0.5753632375724949,5.896783304599105,0.009361161387934783
Pgp-sub,0.06621804258244564,2.4418516532097683,0.44481599489816653,1.4788363022246278,5.50585290045901,0.8038895434886546,0.40613351784449275,0.08557376998657953,1.5081452942663425,0.07279670510141212,0.272822381491493,0.1737968358157566,0.00032011552345574565,0.25897526426427786,1.2631642602324842,1.4582001749541118,0.03591253772442238,0.9899231126733528,1.3920298080990217,0.006905450884310499,0.0022909519485426397,1.1682118945459208,3.5000955949486046,1.792966902399375,0.00019507599197928274,0.005671139251607802,0.3753894961768069,0.9441314306143299,6.573629400844213,3.86677747949878,3.692285469906096,0.020151986661405386,1.7633385818217373,0.4196620739808011,0.06301349696618272,1.921471455813429,0.10787194665517065
HIA,0.7800607045647012,1.1910112421096597,0.5707950838217146,0.10850804363442063,0.039997132026371944,0.678197119779637,0.09896021287090122,0.03956835553133349,1.0633739926819399,7.27065530328566,5.88717567325032,0.00011189575596996866,1.0835362240322448,0.050344565330008625,0.3195610552696839,0.0021678987603379243,2.044819255957988,1.273787945003667,4.3893646481901545,0.74229517463995,0.17706872924278097,0.19998098828898667,4.264675647889311,0.10949002317524889,4.334529363272232,2.3323052515010696,0.6121591766233151,10.527978760965825,0.046065804045536556,0.005461415382756709,0.03494500151961209,0.12501883548470746,0.1801421189614925,5.443474438023221,1.9705528798016965,1.404018454966489,7.672155000241386
F(20),0.6054497989736538,1.952984363189581,0.501468766971819,2.3094030509458143,0.40641597562794285,0.1635806612162201,1.4292758577612092,1.7034201783966096,2.6249520187635307,0.47042534955485926,1.318155696102465,0.8467566063135687,0.022853003008806404,1.7500390555481693,4.062608696480251,0.05952571264629154,0.7654564822807339,0.005062608052480931,0.01695609405902122,0.9945637913847949,1.0044250367963,1.478726511592837,0.2880026920457006,0.9712254255972348,0.008803558260572128,1.393869720554904,0.018654823191775898,0.5972623961038876,0.09792433729713483,0.8958284327337869,6.823060141769631,0.032525767980632676,2.253752743227572,1.180820890610262,0.582746106749786,3.1696327281802903,1.5880975292172324
F(30),1.0179767733577352,0.3593998007304463,1.8325853284974851,0.4035511545832861,0.6371231179309326,0.2766477838620752,1.634618749210918,0.9309075111376106,0.3610156866551846,9.2610625797969e-06,4.159679499671631,0.24165702570750364,0.7484761844946255,4.091483241473613,0.8842231080506864,1.3606756919512035,0.003889046377659051,3.0087571963993103,9.183941760739184,0.5629653985319855,0.6761108427073866,0.018960084423784197,0.4783494404502202,2.0315099730308877,1.5828341570992517,6.375345368804804,1.4136305185834697,1.9712485833237723,3.0739447817105088,1.4776054747758272,2.3030587783195102,0.06866601090600326,2.074087407808496,0.3666016522992254,1.1590074365421805,0.056270227224897336,0.8129243576742763
Caco-2,2.9271900718143846,0.0025278408295601757,1.511561720967702,2.2479011182980053,1.9868816140241115,0.34656425879125485,0.16389358503940246,0.02883096931900455,0.45927554380237906,0.07393070624113021,0.07148256954456132,0.03655045097304849,0.7402061728797563,0.48679192605471255,0.006468030157457475,0.09133885466169177,0.3498416113858841,0.8041568858267255,0.7003564299781987,0.40611980735780295,0.04192740779519749,0.6863731742160826,0.26599892368843076,0.5473829188511584,2.6080287932629522,0.4505438412385054,0.17387409924938152,0.005362803574445442,0.4409714978945961,0.4932484632651483,0.4182591364333543,0.6578044862336654,0.7272174165862685,0.025986427339937303,0.7930103829913415,0.3206539465748603,0.08059122730596133
MDCK,0.007152725958248242,0.5502026237024357,0.29852230578215216,0.12337620440848975,5.8768970216298095,0.6111763153454588,3.259141473232267,0.43452214204137035,1.8614689837423752,1.9739441822460138,0.7752073454725134,1.3249134402458074,0.15354342298609408,3.936350368686623,10.157595615521025,4.515458980846035,0.2299919606613091,0.0016893731929700012,1.4407823325203077,1.4636590630166189,0.008493997733441496,1.3591863762188814,0.12027042212025955,2.1384448928211297,1.6859949694086447,2.144323344518554,0.22508794482750163,4.083876152291448,0.32442925831635167,0.008286833607923722,1.7361033997413238,0.0005919475596061465,0.18872360497087035,0.9221880655111975,0.056030656490927234,0.6347591981541086,0.09321679654455577
