,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
LogS,-0.09751370173057863,-0.12829921248777323,0.12646489800104066,0.09446729995674598,0.04894865524383153,0.06545628953531524,-0.10698549464717486,0.19339564577985352,-0.1486565672499827,0.11476317061297875,0.08984242106181087,-0.06005467463534107,-0.18831596697971206,-0.069334587879883,0.06757539130629055,0.04511429294829041,-0.012035247872916505,0.053527453875965546,-0.009146955645984988,0.12281485228912514,-0.003574511250664614,0.026327597724031593,0.010998276446574315,-0.11264864716123689,-0.015703604221018446,0.08941417647373395,0.1483445790654201,-0.04578838164316419,0.03253843167152765,0.1971111153290221,0.13126202134575624,0.02472292774685202,0.06636048682681596,-0.018838481255038016,0.03291052204608988,-0.0362742471342998,-0.06322942777884989
LogD,0.1348037028914888,0.11731412668954322,-0.017316628125130795,-0.17253640949156054,-0.07973238419971229,-0.03991050055601301,0.02520036313658741,-0.018181144874092225,0.23144055116197548,0.01626124256477173,-0.12394393643091782,0.03233143761446746,0.1410086916154415,-0.03562594785516689,0.029270490290764187,-0.07702125877751412,0.019527601714372168,0.09267518578505095,0.060328869594337024,-0.022733350907485933,0.1169835693559827,-0.09396339647313567,0.07422972442423736,-0.0014808431141438688,-0.06925726787643775,-0.10924678550405556,-0.09918795286012415,-0.036685059272808816,-0.02309164552013428,-0.11150566752224558,0.0559350474502843,-0.042418625052884885,0.00040595112651278104,0.010631140346555875,0.06079219428858042,0.041399755549974424,0.032799346008181136
LogP,0.12961537582151517,0.12501273932477122,0.04306934231981713,-0.1598071618760551,-0.04007434827006508,-0.05244484478764133,0.08594377166861283,0.10502010562613201,0.23877262517653997,0.006112325447595018,-0.05342916806769493,0.008225737455517503,0.1847878697170913,-0.04148782707046289,0.053140379672161515,-0.09151141928479081,-0.026173265407733133,0.09625857413265818,0.018043415146042595,-0.0010488563334297568,0.06818143550681798,-0.022485137799192482,0.03988196193832262,0.01858000973742339,-0.01737498516792133,-0.06009215936069585,-0.023748960192440216,0.02381775327550552,-0.018122075819711207,-0.12962165890677962,0.016402119917436602,0.012904569487547283,0.033352020770073175,0.023409042295332246,-0.12323726900614788,0.045826322008741566,0.05522993250046599
Pgp-inh,0.11539752123829256,0.10066662956023786,-0.02547439117543171,-0.019830084566386484,-0.11858051987986297,-0.2520886116050809,-0.08270451889348901,0.01347565040933868,0.20333050889067317,-0.0965920756515272,-0.0362038731368893,0.04407095114679733,0.04919008063230468,-0.03296839099560951,0.07266938004231714,0.08315565227782001,0.01651040464420745,-0.006401430869557044,0.0581319604268833,0.03060635087602305,-0.05958099700836786,0.042119527609739,0.09242696197295214,-0.07450313682366451,0.02437008166201899,0.022171523034102573,0.17858068353108647,-0.17841127293179684,-0.14003697792911152,0.04016604933374692,0.04271417378720245,0.1503607681943011,-0.035515969636515696,-0.16014363326771694,0.07585270183536606,-0.24283293237530826,0.009675309497858345
Pgp-sub,-0.025732866646070676,-0.15626425225270718,-0.06669452712915558,-0.12160741351680115,0.2346455390681655,0.08965988754669804,0.0637286056527595,0.029252994716196065,0.1228065671805194,0.026980864534223548,0.05223240196386657,-0.04168894767390474,0.001789177250737739,-0.050889612325530464,0.11239058057650937,0.12075595947836748,0.018950603611606262,-0.09949487990210112,0.11798431285976207,-0.00830990426196987,0.004786388981834471,0.10808385145552135,-0.18708542420372057,-0.13390171404427115,0.0013966960728064026,0.007530696681986207,0.061269037545632066,-0.09716642581747717,-0.25639090079104254,0.1966412337099924,-0.19215320632001173,-0.014195769320965095,-0.13279075953626213,0.0647813301793658,0.02510248931205483,0.13861715102444677,-0.03284386497584758
HIA,0.0883210453156382,-0.10913346150973406,-0.07555098171577357,-0.032940559138305556,0.019999282993740514,0.08235272428885619,0.0314579422198753,0.01989179618117315,-0.10312002679799592,-0.2696415269072193,-0.24263502783502477,-0.0010578079030238371,-0.10409304607091888,-0.022437594641585068,-0.056529731581680454,0.004656069974063884,0.1429971767538783,0.11286221444769134,-0.20950810600523684,0.08615655370544659,-0.04207953531620581,0.04471923392557017,0.20651091128289842,0.033089276688263974,0.20819532567452692,0.15271886758030495,-0.07824060177576062,0.3244684693612897,-0.02146294575437785,0.007390138958610126,-0.018693582192723823,-0.03535800269878199,0.04244315244671308,0.23331254655554254,-0.14037638262192453,-0.11849128469919164,0.27698655202448713
F(20),0.07781065473144755,-0.1397492169276659,-0.07081445946781062,-0.15196720208472003,-0.06375076278978486,0.04044510615837471,-0.11955232568884683,0.1305151400564934,-0.1620170367203255,-0.06858756079311028,-0.1148109618504464,0.09201937873695787,0.015117209732224524,-0.13228904170596187,-0.20155914011724335,0.024397891844643377,-0.08749036988610433,-0.007115200666517375,0.013021556765234034,-0.09972781915718378,-0.10022100761797904,0.12160289929079968,-0.05366588227595824,0.09855076994104285,0.009382727887225616,0.1180622598697359,-0.013658266065564806,-0.07728275332206322,0.031292864569600364,-0.09464821354541184,0.26120988001547024,0.018034901713242762,-0.15012503932480997,-0.10866558289588575,0.07633780889898437,0.1780346238286331,-0.12601974167634344
F(30),0.10089483501932771,-0.05994996252963354,-0.13537301535008692,-0.06352567627214101,-0.07981999235347816,-0.052597317789225245,-0.1278522095706961,0.0964835483975175,-0.06008458093847244,0.0003043199398625879,-0.20395292348166116,0.04915862342534663,-0.08651451811659272,-0.2022741516228314,-0.09403313820407605,0.11664800435289086,0.0062362219152777565,-0.17345769502675024,0.3030501899147926,-0.07503102015379942,0.08222595956918882,0.013769562238424356,0.06916281084876616,0.14253104830284835,0.1258107371053541,0.2524944626878936,-0.11889619500149996,0.1404011603699831,-0.17532668883289027,-0.12155679638653813,0.1517583203096131,0.02620420021790462,0.14401692288785015,0.060547638459251686,0.10765720767984743,-0.02372134634140679,-0.09016231794237972
Caco-2,-0.1710903291192809,-0.005027763746995454,-0.12294558637737685,-0.14993002095304345,-0.14095678820206237,0.05886970857675912,-0.040483772679853175,0.016979684719983623,-0.06776987116723618,-0.027190201588279977,0.02673622440520751,0.019118172238226257,0.08603523539107427,-0.0697704755648629,-0.008042406454201054,0.03022231868366354,-0.05914741003508815,0.08967479499986188,-0.08368730070794486,-0.06372752995039138,-0.02047618318808404,-0.08284764174169851,-0.051575083488873866,0.07398533090087242,-0.16149392537377227,0.06712256261783409,-0.04169821330097749,-0.0073231165322186695,0.06640568483907057,-0.07023164979303484,-0.06467295697842759,0.08110514695342493,0.08527704360414173,-0.01612030624396984,0.08905113042468024,-0.0566263142518441,0.028388594066272706
MDCK,-0.008457379001941585,0.07417564450022905,0.05463719482020947,-0.03512494902608254,-0.24242312228064788,0.07817776636265955,-0.18053092458723713,0.06591829351867129,-0.1364356618975543,-0.1404971238939081,0.08804585995221546,0.11510488435534821,-0.03918461726061567,0.19840237822885665,0.31870983065354336,-0.2124960936310604,0.04795747706680466,-0.004110198526798919,0.12003259276214556,-0.12098177809143901,0.009216288696347085,-0.1165841488461824,-0.03468002625723626,0.14623422625435986,0.12984586899122533,-0.14643508269941857,0.04744343419562941,0.20208602505595102,-0.05695869190179424,-0.009103204714782445,0.13176127654744868,-0.002432997245387151,0.04344233015974978,-0.0960306235276642,-0.023670795612088583,0.07967177656824959,0.030531425866565064
