,PC1,PC2,PC3,PC4
LogS,1.6082170202062862,0.2997375349446406,2.740293293161878,0.038676505447600755
LogD,1.6291180330783055,0.6650707153156934,0.6527444537838832,0.4286360714798632
LogP,1.2771541452847879,1.7794532888739025,0.16348874916815198,1.6133466502903113
Pgp-inh,0.5189105038159689,0.6922027733827891,3.136431669744698,0.00019198579714054307
Pgp-sub,0.09743404224804655,0.21797381234979907,7.651525562382812,1.2056984362981877
HIA,0.712072593628116,3.5959463220278582,1.1318959294150064,1.1602343771313235
F(20),0.4665032314122794,3.249422368862924,2.4654626592488316,1.191408238111915
F(30),0.7149896879383834,3.5911859213953776,1.1318327347141615,1.1560774790569341
Caco-2,1.0579691621595357,2.2919570574845753,0.30275013136883383,2.4815438975629376
MDCK,2.2399855104081636,0.6018295293142972,0.016214536368412916,0.04035797754892795
BBB,0.011175876371043954,0.06068530188221619,0.190563193493839,12.835695512314501
PPB,2.0410246036794653,0.439510411713313,1.0545927339684117e-05,0.04847079858136195
VDss,1.430253048210748,2.236821444819552e-05,1.3543705796071368,3.5525584795624447
Fu,1.8776082708114303,0.0015743055804110077,0.13792467825170315,1.7618006639542958
CYP1A2-inh,0.982768179761738,3.5782365658488664,0.8238398818235579,0.12745982573016373
CYP1A2-sub,0.007432735838800197,3.2575805195357197,3.2694394665746604,1.754801686641862
CYP2C19-inh,1.166177144345742,3.4581635243717996,0.3350891467017573,0.1006188049725544
CYP2C19-sub,1.4435633652642106,2.7915303461727983,0.001412570352765605,0.3710743279876986
CYP2C9-inh,1.0308220198796871,1.4794054583965215,0.14043333736810235,4.819016288722646
CYP2C9-sub,0.4813957435709186,2.8683248249772584,0.135833986733412,3.7792096095431447
CYP2D6-inh,0.6240854848873562,2.611773780918828,2.0233742673652477,1.4313533489693493
CYP2D6-sub,1.9228524389732986,0.7302270602818245,0.8622291813804781,0.24528938404672346
CYP3A4-inh,1.4237664399594678,2.1937197785824476,0.5522874983402413,0.04589677546867523
CYP3A4-sub,0.8189375214521528,4.47713631001921,0.01121906871350386,0.3327297366314895
CL,0.14711406930319287,3.946340638437769,0.32174111998847893,4.478522830153255
T12,1.3792824826416268,0.7026492356356205,2.795092473822784,0.47243899854895255
hERG,1.5358869414273775,0.06583496425414663,3.25612255942897,0.018812945087155808
H-HT,2.157045432350294,0.8376927155439705,0.023304036756484955,0.03797409707597883
DILI,1.5277611618053855,0.16673887789204572,2.7038351129608666,0.5746782242876084
Ames,0.45244187037338973,0.4177052918034503,5.427362663330725,2.175696063543331
ROA,2.1436916945176536,0.013378456258920146,0.2604009187278148,0.9910187948590604
