,Explained Variance
PC1,0.21870854413099872
PC2,0.18272979540573409
PC3,0.11136060976111566
PC4,0.09223024842451324
PC5,0.06338758716641016
PC6,0.046294186643069904
PC7,0.04181875395092722
PC8,0.028511284846987967
PC9,0.025809856320453402
PC10,0.023595219621018404
PC11,0.02106776951935884
PC12,0.01575159234663798
PC13,0.013924929311049683
PC14,0.011918441472226048
PC15,0.01080328198317313
PC16,0.009466554788419108
PC17,0.00861298171526287
PC18,0.008209909534271925
PC19,0.007067704288582783
PC20,0.006131813003835104
PC21,0.005239095064498871
