,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
LogS,1.1040981725488015,0.0020181172609688752,0.5719608008994315,2.0386900710487774,0.4338502464293241,2.96776298430411,0.007109842864353209,0.9584117203976453,0.722439634782195,1.8142462844095641,5.6173323218038975,1.409022710961725,4.32553960856257,0.612430420306246,2.5897937431021187,1.0283743689207359,6.996907949749645,0.27572152535322453,9.170705982388409,5.921423369189275,0.5707163120057266
LogD,0.011881463476877373,0.24582998891258812,6.801028220053353,1.479664265742946,0.14678703640308766,0.0710770658817596,0.5359295097828459,1.0262746960185951,1.035529340899253,0.547964533311339,0.0389215769326129,0.019381372280384942,0.11397227562579848,8.702548310459605,0.0016967238857613144,2.4942037095373353,0.22330208600387308,0.29824517245459586,0.7006289391569968,2.183021895148556,0.00261045219247413
LogP,1.1370081199293443,0.35576128810761576,5.866689128268783,0.8323990799038314,0.0027570617866403226,0.028070660307843335,0.7576685254161438,0.8835879630303858,0.5984810183454792,0.15025796431044375,0.41180317323392607,0.9610002256334319,0.2981160977232017,3.4025646040312476,0.051180041819996636,1.204442544849649,0.7398715153259943,0.016907596938270087,0.07169956504728606,0.048837862633928246,0.4572206834804849
Pgp-inh,0.7922069839036152,0.08278761583122494,1.666664053888282,0.014632717201727144,5.249772349200175,0.5926284460049098,1.0005083438035518,0.09335819776531624,0.6548590201763616,0.37809136900034956,1.250266974160485,0.26423239924192177,0.9318411413838882,0.23393780711186427,0.04553286347119286,0.3496083844767916,0.112776528021546,0.025319474176647677,2.0292548440009543,2.4875504450226216,0.04316070775286451
Pgp-sub,0.017881484787033736,0.4738113051820581,0.42093957137146326,0.08625611177076042,0.9885843509620889,1.4584147114895636,10.785392386654285,1.495010323651986,1.8784262977944528,0.14516657457845542,0.14721887474245446,0.03405584614056683,8.991209875886945,0.001368266354301076,0.2288831544724327,3.7319431522617728,0.009823578974837635,22.33654758513178,0.47603933125808673,0.12217781801171894,0.09456309324301015
HIA,0.04492304268094097,1.4516565745708108,0.724216695162512,2.408688275165928,0.018170071531963823,1.6880216408398163,3.4035453473358257,0.5615543478875517,1.4085310189788935,0.2182594372274116,8.643367486805207,0.0724877392067963,0.07196701765908205,1.465192280545247,0.10463193853385087,0.12439837729826476,0.7538051004097366,0.0015963812179394285,1.471255438629556,2.132792291706145,7.448974204971533
F(20),1.5940963121866258,0.7297340690261588,0.3405387119026246,1.4524935341142753,0.14110531996267753,0.0847477327172283,4.658449132528824,2.242928797926649,0.18689399217035801,0.023798281763828054,0.1288309203841967,0.27148037358771376,1.1731612890378411,4.379319501679414,3.258776512749518,0.4416279878969164,8.88033715407985,0.44844258483004673,1.5799034231543128,0.9577788754783425,0.7921222709033964
F(30),0.8908349587782854,1.5323921732419594,0.3541828739168076,0.27273025227326864,0.09888859305478459,4.7190568670697655,2.0049912902282316,0.5807908619430927,0.06185371680256432,0.05615226532932465,1.2861321174061735,0.368475083631445,1.3092048393523257,0.10671770768805543,0.22438124471648863,1.9458224710888439,10.971603188745457,12.10244850606544,0.1754818498945946,2.227445510068058,0.16592557385677792
Caco-2,0.7680649162534307,0.2708911114694729,0.9038109705183137,0.022898741168550847,7.906450806051987,3.1606368315733664,0.03515774785785061,0.7989435864548693,0.05959041785106767,4.303053594874543,0.24454789768794324,0.7359232889893871,1.4082328266387854,1.286179359154235,0.027183953718877593,0.19928051290962076,0.22395944315830918,0.9146456782739522,0.006441243441422114,1.801981775722313,0.38925531707050565
MDCK,0.5266241697565341,0.362599378179996,1.1436221633744577,0.5056018059834567,9.768305913039622,2.2840723155686726,0.3082695262377419,0.0034115867548632564,1.8449832965617596,0.4481907010379293,0.024114465081402123,1.0550300781590911,0.0036610484482434663,0.011697425259938454,0.019165981598351735,0.0002089030683141444,1.2710409570858643,0.0009490330059677934,0.3963138981703169,0.49345321325309394,0.5117981404883984
