,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
LogS,0.10507607589498191,0.004492346002890779,-0.07562809007897997,-0.14278270452154831,-0.06586730952675418,0.172271964762236,0.00843198841576126,-0.09789850460541494,-0.08499644903066214,0.13469395993917338,0.2370091205376682,0.11870226244523414,0.2079793164851392,0.07825793380266602,0.1609283611767086,0.1014087949302592,-0.26451669039494735,0.05250919208607428,-0.30283173516638584,0.24333974951062295,-0.07554576837955432
LogD,0.010900212601998804,-0.04958124533657744,0.2607878106824271,-0.12164145123036578,-0.0383127963483596,-0.026660282421939865,0.07320720659763258,-0.1013052168458562,-0.10176096210724683,-0.07402462653140095,-0.01972855213456195,-0.01392169970958465,-0.0337597801571335,-0.2950008188202128,0.004119130837641982,-0.15793048184366867,0.04725485012185236,-0.054611827698273926,0.08370358051821897,-0.147750529445703,0.005109258451550608
LogP,0.1066305828517008,-0.05964572810416652,0.24221249200379358,-0.0912359073996544,0.005250773073215337,-0.016754301032225524,0.08704415692142373,-0.09399935973347825,-0.07736155494465445,-0.03876312220531826,0.06417189207386095,0.09803061897353457,0.054600008949010403,-0.1844604186277166,-0.022623006391723585,-0.10974709767687023,-0.08601578432624991,-0.013002921571043213,-0.026776774459834785,-0.02209929017727226,0.06761809546863068
Pgp-inh,-0.0890060101287331,-0.02877283716132717,-0.12909934368106912,-0.01209657687187873,-0.2291238169462131,-0.07698236460416824,-0.10002541396083056,0.030554573759965332,0.08092336004988679,-0.06148913473129619,0.11181533768497434,0.05140354066033989,0.09653191914511428,-0.04836711766395266,-0.021338430933691643,-0.059127691015022035,-0.033582216725753226,-0.01591209419801419,-0.1424519162384611,-0.15771970216249523,0.02077515529493451
Pgp-sub,-0.013372166910053773,-0.06883395275458604,0.0648798559933253,0.029369390829698937,0.09942757922035964,0.1207648422136825,-0.3284112115420892,-0.12227061477116999,0.13705569297896575,0.03810073156495232,-0.03836911189256983,0.018454226112348038,-0.29985346214254294,-0.0036990084540334256,-0.04784173434068132,-0.19318237891334122,0.00991139696250616,0.4726155687779634,0.06899560357429207,0.03495394369906189,-0.030751112702308875
HIA,0.021195056659735756,0.12048471166794614,-0.08510092215496323,0.15519949340013733,-0.013479640771164425,0.12992388698156376,-0.18448700082487723,-0.07493693000700999,-0.1186815494918605,-0.04671824453330964,0.2939960456673729,-0.02692354716726536,-0.0268266691296333,-0.12104512714460033,0.03234686051749858,0.035270154138912525,0.08682195001321592,0.0039954739617965584,-0.12129531889687893,-0.14604082619959885,0.27292808952124253
F(20),0.12625752699093323,0.08542447360248462,-0.05835569482943582,-0.12051943968150014,0.03756398806871783,0.02911146384454555,-0.21583440718589852,0.14976410778042407,0.043231237799808364,-0.015426691726947828,-0.03589302444545411,0.05210377851823356,-0.10831257032486306,0.20926823699929742,0.18052081632735645,-0.06645509671175842,-0.2979989455363869,-0.06696585583937884,-0.1256942092204057,-0.09786617778774964,-0.08900125116555367
F(30),0.09438405367318593,-0.12378982887305241,-0.0595132652369879,0.052223582055740736,0.03144655673595833,0.2172339031336905,-0.1415977150319959,-0.07620963600117064,-0.024870407476067675,-0.023696469215755467,0.11340776505187697,-0.060702148531287164,0.11442048939557659,-0.03266767633120779,0.04736889746621601,-0.13949274071036258,0.33123410435438944,-0.34788573563837655,-0.04189055381522122,0.14924629007342383,0.04073396296173232
Caco-2,-0.08763931288260021,0.052047200834384265,-0.09506897340974671,0.015132330015087181,-0.2811841177245256,-0.17778179973139446,-0.018750399424505765,0.08938364427874201,-0.024411148652013007,-0.20743802917677712,-0.04945178436496939,0.0857859714049673,0.11866898611847937,-0.11340984785962083,-0.0164875570412592,0.04464084597200425,0.04732435347242571,0.09563710986191251,-0.008025735755319952,0.13423791475296062,0.06239032914406734
MDCK,0.07256887554293048,0.060216225237056845,0.1069402713375301,0.07110568233154482,0.3125428916651221,0.15113147638955532,0.05552202502050352,0.005840879004793076,-0.13583016220861105,0.06694704631557163,0.015528832886409109,0.10271465709231037,0.006050659838598982,-0.010815463586891894,-0.013844125685052028,-0.0014453479453548357,-0.11274045223813252,0.0030806379306367593,-0.06295346679654082,-0.07024622504114322,-0.07154006852725253
BBB,0.16345988643012532,0.022983326627202705,0.03744405376377431,0.1070806880019117,0.2238758819535235,0.007515599962184316,0.0669094502105263,0.07130611499034101,0.03202878686492254,-0.06716798405593866,-0.12080107264109431,-0.05755908210834797,0.08246591555709744,0.03988054266147023,-0.035578869127386226,0.09287180905611139,0.033928152740111135,0.07400656962895619,0.036227614432414484,0.003940141150792169,-0.043762500268341116
PPB,0.12825223654029316,-0.15567758484330202,0.06603095717425951,-0.12971124304829326,-0.06454934869894637,0.1317431264594718,0.08654228519412724,-0.05593046693574688,0.013480262781629504,0.055781532133188746,-0.024879713690339325,-0.0524150474437301,0.010742590909181476,-0.10008341777257142,-0.07715885572855363,0.06025789036644927,-0.059844039820924094,0.028071634959285413,0.04556262233381403,-0.06699398955785826,0.0123119091076253
VDss,-0.06946623426253692,-0.13108422505797612,0.08743572812192076,-0.06014691101968306,0.20426909821913225,-0.08462796386542532,0.07135285899487226,0.02286271441136456,-0.056532309566448107,-0.2340170511311132,-0.019511015249254776,0.006894108906552017,0.13561984838354083,-0.18421858087731885,-0.056182521838139377,0.013765745380704922,0.1682886820406662,0.21863313385610283,-0.05142885110647877,0.07710030040494636,-0.1920646883546285
Fu,-0.11233452212554812,0.014698886078984775,-0.012729388182081918,0.18706750066634814,0.13809642034167652,-0.06256549563329056,-0.24830311911981578,-0.10613136030862902,-0.01892882495193761,-0.08119971829069877,0.09874582518281312,-0.02311682325925879,-0.021196863199526184,0.167586650956084,0.023286523783325908,-0.11994351837841069,-0.011485990983233036,-0.229001580362271,-0.06056217893137618,0.03752444081702436,0.02793883670306027
CYP1A2-inh,0.20029313448190703,-0.036572177983830376,0.04221105216337698,-0.026791039763859728,-0.06372761976564527,-0.17112044980898378,0.04262571156114119,-0.10726023550479027,-0.013142066649511591,0.09319109388885108,0.07738612545015716,0.06908396341119721,-0.09789555822119059,0.057172727928098854,-0.012881642809477234,-0.014869907018266848,-0.05300254098539138,-0.006775440540766398,-0.06155982817998029,0.06286870765662894,-0.03495311514584875
CYP1A2-sub,-0.10419900889375514,-0.034828080990099215,0.2000584278455132,0.0777187787442091,-0.020503772903352837,0.06363991700228323,0.003966317932528906,-0.10816837440181289,0.1984307060475352,-0.1188691775023669,0.10651796290229976,-0.11344171096951702,-0.0947754120174174,0.08338113406666535,0.252262764602078,0.227563488851171,-0.016075079343221527,-0.20247184953940206,-0.09546501578993058,0.038719686830217565,-0.14049631636812174
CYP2C19-inh,0.20176927878382558,0.0260361803295973,0.13078447989583164,-0.03164247884065893,-0.04257020331399544,0.01131931370432829,0.00888226819859835,-0.06826091603597625,-0.055708945867279536,0.040155260688730515,0.036376139995174056,-0.06516889193704867,-0.02458896682105477,-0.10568409575950236,0.10649281466855114,-0.01975380611260305,0.03709685392403955,-0.042731187844026186,-0.05242408746648182,0.012041359392026219,0.08226111629366595
CYP2C19-sub,-0.16045882048934862,-0.03227059022337315,0.18230409682706536,0.07962964851566945,-0.04068952223364323,0.016582385511608393,-0.11298337336307746,-0.06811270538644448,0.016910512871933125,-0.07801178673585439,0.07871278958409056,-0.10494678486682672,0.029336439127051972,0.04295523091675496,0.005227046188821249,-0.06637759646188116,-0.19785827715694942,-0.029050672077682624,0.01963584315929373,-0.006006359808880007,-0.14565921661596926
CYP2C9-inh,0.19462124463572114,0.01909505581072057,-0.005898441012054313,-0.10434843324385562,-0.061223147277034214,0.07511191558667006,0.0007634296186916634,-0.037814224670090095,-0.0017731934353816259,-0.13134707035333523,-0.04080133852533874,-0.13881825073947318,0.1591197184250345,-0.13624094516387925,0.11081120667201594,-0.06477530939547266,0.12143471789807775,0.03539624381148446,-0.028752570666316216,0.023473590364708447,-0.046891910179018226
CYP2C9-sub,0.1373672751438507,-0.03466372895740474,0.02314989088331992,0.03319253477406101,-0.27090825117330497,-0.07065328560589815,-0.04907661963025165,-0.06067497279418679,-0.14055737257326797,0.018210776563501084,0.0953503485998648,0.12295224777894917,-0.24660920938893915,0.14422797618858035,0.015156666772691868,-0.06560569522433106,0.1141794393446024,-0.04777388638133398,0.09257516881032604,0.08514927025384941,-0.17150542976352184
CYP2D6-inh,0.19235640972183987,0.039579219039104295,0.0643808046000194,0.10255907449899643,0.03656071962564353,-0.06214177954469646,-0.13003847278010938,-0.03361434087103416,-0.1039079782436979,-0.08153727333641587,-0.06332843747373967,-0.05926444266586585,0.06566900374273271,-0.0387706593525558,-0.09014360342423544,0.021601882220683988,-0.06840293884978238,0.028805120450994592,0.04951960504011288,0.029342337377860572,0.03814239910987605
CYP2D6-sub,-0.1268155198276339,-0.06713041675725791,0.15490768689618245,0.07391834867084911,-0.05134017844701407,-0.0011154816121064345,-0.17736024852642165,-0.15069867944315016,-0.08736227841651728,-0.013132933504535645,0.0112922376459975,-0.09108002865160997,0.1442889287559705,0.17399635791297074,-0.03338162182079535,0.02769779893343724,-0.0356939011703255,-0.027958393009440807,0.05763829347193766,-0.01055801403022033,-0.22508018844413896
CYP3A4-inh,0.0674251731607303,0.03341046132779763,0.16731982389285083,-0.12515879515876535,-0.16007877502358916,0.053451552688316126,-0.06706901048253668,0.008319399714527923,0.0038374428425883332,-0.05195574577662664,0.1056844826537621,-0.16946854068648604,-0.01744335831465893,-0.1986302822630717,0.35191706222655633,0.1546084953649217,-0.05192879992874077,0.2895403431486999,0.10357514937502596,0.026553884178036613,-0.13526119826399274
CYP3A4-sub,-0.06885143820058787,-0.008339965591559268,0.24378122508368683,0.07265300156904829,-0.025713734510803398,0.05724000542775708,-0.028833121316638902,0.16248341465929703,-0.0028999734084935104,0.13013239423433287,-0.136256480864229,-0.030403419795576234,0.1404950673189765,0.0241161391170584,0.2178408938087487,-0.2236010204824327,-0.11011140426965917,-0.09620692724267829,-0.06723040072856429,0.04304311622882717,0.12022569392712895
CL,-0.02940363539733776,0.08181996662490192,0.09603165467767034,0.06563205253665667,-0.05541504704291627,0.2391712130239745,0.17208292684765017,-0.003152797806272768,-0.2537120213969924,-0.23226487331540582,0.171411935282893,0.09693022155450214,-0.04297852507650474,0.07965009771495486,0.21328487298444887,-0.1557830536832413,0.12373103910431574,0.06782239530916985,-0.05470194172593744,-0.09517388368730206,-0.11424277068792296
T12,0.014957787546062811,0.04505239636720179,-0.18139927998209274,0.14254229698835194,0.1634310059416628,-0.16719567597820884,-0.01805103277627327,0.05824386463622612,-0.09833885543976181,-0.03914462448708283,0.2962217976590037,0.011304251120038505,-0.09501934461347744,-0.08070961929178846,0.09193931105398315,0.1404593056512496,-0.018095505897438226,0.11033396733480938,0.03321472982944801,-0.1005785943346043,0.0980905100472356
hERG,-0.13449008851638244,-0.11131289653146134,0.1361831122304376,-0.020263966477015803,-0.10608204400368487,-0.13529064002392147,-0.029055789319412467,0.061763178042361165,-0.09320320284477285,0.07215897596105762,-0.08606114452553269,-0.19288687852112882,0.006755291256016948,0.0444534893608016,0.11987651592133841,0.1703819263250505,0.029744664756625752,0.048028134458206834,-0.16731259283751782,0.01627630100011035,-0.04340012241745416
