,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
# Atoms,0.7729706249909812,4.45174486513121,0.12752399950047305,2.66898826624962,0.15093614659333388,0.04500780857290821,0.01668779433625807,2.406994585071139e-05,0.006896357829546315,0.1404973820077699,0.15746474826122603,0.06383314968602224,1.2884544540021114,0.4334266552852176,0.06281032614225013,0.26758074602264875,0.009692664265064009,0.13003123108819284,0.003741676826352707,0.010979259698048024,0.05194335942054188,0.013040554544251398,0.5314895246232111,0.3948627766185769,0.11300665377067692,0.029998771585312507,0.0948218790101445,0.02318708998843698,1.5383172942584808,0.16261043782696508,0.15512028997629634,0.4742056960522212,0.28183642915813284,0.08604398809169579,0.013150867401463847,0.19678499330218663,0.08982848999623486,0.23371379012679153,0.033124697308731715,0.0034225035484784197,0.2040747326555856,0.25754134170290943,0.4557253177743868,0.8769698506276035,0.08298946631388066,0.011982729956295731,1.0453918629699628,0.7026707400259548,0.34959021744142016,0.7232501619878726,0.08032723723015953,0.076488021840157,0.06786326720455894,0.7345278275618631,0.0003037490352525024,0.9843414061818422,0.1519504718334933,0.04344384756777035,0.7893422255734855
LogS,4.676755723486843,0.006692092826008653,0.134378648056165,0.008460794760869386,0.03880767927549485,1.1815303919594542,0.05212098694060977,0.3016099558811837,0.0387633398713962,0.02837868399494446,0.00035688752791825193,0.41226589554772786,0.20967998257204104,0.08194790963194748,0.6830043899800966,0.0013716463306283743,0.7919820774965872,0.3344361978383447,0.20866137209342167,0.0023528174372181116,0.32590271979083174,0.0001711405284242036,0.23854823266248032,0.0006572975258654157,0.8449264832489971,0.7923980499220513,0.02163174514270787,0.5278214962275868,0.00013360842257538813,0.19310964075534984,0.059933090092906316,0.932281779170234,0.6321337173812778,0.203366911007384,0.013245288064246422,1.0515582739734162,0.42701548602679973,0.08388947153676138,0.09292776695397277,0.248861270111384,0.03544325901673701,0.09305823257971786,0.8844597550935749,0.15671898097440284,0.15176166117136747,0.252711586192489,0.3607231067917391,3.9123291510181164,0.0013856536727434162,0.015562529898187965,0.10338329253752508,0.29651035609316606,3.6183761591293786,1.2833751544216276,0.07874840962198607,0.07630683066944044,0.01766935975750666,0.02130845747073482,0.11075829316744232
LogD,4.866422036973718,0.415587207420808,0.19082646176815368,0.0969349043930343,0.6460181474015402,0.16229716611514883,0.014121434919410678,0.39028337942154656,0.0011899922158696752,1.250052852824394,0.1501332686146477,0.39776651551073877,0.15806847171507102,0.06786550434688492,0.17935445141863093,0.4233701927131946,0.0025764045993509465,0.005467003426494277,0.553729653826819,0.1894930729498004,0.8765376987119019,0.21824014530911012,0.027331842288866048,0.13248787307318863,0.1363695661192963,0.39487166359678144,0.21396394851366318,0.0014991633385298608,0.3867539878353715,0.18002392162044473,0.056930076126860005,0.25148064623849875,0.0470646804819731,0.5215515739739698,0.005290878620356088,0.029817302045748596,0.0054114062823382904,0.3175957127167328,0.027716763564645423,0.08572498933630207,0.5010523063361069,0.3207297516334454,0.03632992334572302,0.011577510499822261,0.1328872798311371,9.154239906298834e-07,0.076567750433528,0.0034305964109115784,0.0033919068990114457,0.07761047663340577,0.34994568833520895,2.885777801771139,0.9833713445746933,0.009365853812353251,0.13801562780454704,0.06898976350431085,0.011279486594333421,0.8804786494651081,0.13577823169075895
LogP,4.847858525752346,0.2847237718824784,0.026599566860734575,0.057460436766575314,0.8829392536424707,0.22986058228363898,0.12738981007238956,0.8891996909702946,0.0009887710389979482,0.34100452039870377,0.45442314037525505,0.5785169358911922,0.011494464359273494,0.0012607097434033964,0.526350536866342,0.6020941059123391,0.00027418459850066853,0.04205042440625874,0.5219033643136074,0.4568379372053017,2.015393368184082,0.004260967770716084,0.00015161389816394842,0.2846052403341061,0.10335256337199238,0.2186413624620591,0.9551500264564727,0.012246466710289172,0.27646486813775606,0.08278583715789879,0.16481773335296596,0.09199950120483748,0.05490415226854947,0.2404546602400225,0.03890632980929901,0.001850438528692201,1.5886378007662205e-06,0.2017726707274724,0.1416391484998647,0.06002573339079665,0.11399954885082865,0.1460909242127698,0.04114890119905043,0.11267474978610233,0.3758650830699554,0.3837834111470298,0.5552373560979628,0.0065353693618718485,0.01068037688842675,0.4073719564769816,0.5942357629861584,0.7974385458633823,1.316414242711836,0.07305161186281527,0.3847404811699928,0.017118628103810398,0.21796723825883882,0.5361646551533945,0.06507897820555501
Pgp-inh,2.3134933173647854,0.02213123320120447,0.2861616912890106,0.41397111063998965,0.29622612525485625,0.906749988340824,0.4459129147737607,0.45429298546537344,0.3218143486198573,0.9263228525832599,1.5890185647117323,2.581173789125907,1.7225342552508567,1.172946137868278,0.0698330986790867,0.46519106779765357,0.9431892167423603,0.12596256900338693,0.053246632427638246,0.39911752865706324,0.787191593065399,0.46170219412468505,2.053658662634886,1.822143316020724,1.1622856744204864,0.0028285273885598804,4.196293133046091,3.2968358892232277,2.584514699366979,2.8852809885760764,2.7528676852962617,0.423655431591217,2.9752147131549873,0.23156093124649715,7.171326123631487,0.5683934076694404,2.6510251934216624,0.02962656123246773,1.413963423380359,0.2912932458883427,3.5777013475025683,2.1717405111708565,0.18456380225778507,1.2269375627784442,5.398130807262785,3.102780035978508,3.024605415840446,0.7500259024480789,0.5427115374870879,0.08274283076319007,6.9200603726828795,4.0059882771896245,1.2563111519531935,0.001265461486891495,0.24588633669879756,0.48543648678978274,3.225759555312673,0.2152236375779849,0.7117568332329188
Pgp-sub,0.04185946871537281,0.6474500981958392,1.430001577665122,3.3595081943433818,0.42301347569074976,1.880757685759164,0.4015257400228243,1.1480542099588893,0.062415345508603996,0.00519045614990024,0.23735643353433095,0.13565602013748196,0.06277376531663065,0.00797393116279806,2.4598869788888944,0.2762578012783117,3.914921259711765,4.397361642329212,0.34909137284141956,4.762446763593255,0.2557779226828598,0.3504597319450943,0.7612324103631833,0.9702628273893201,2.2357822247331085,0.17839921507335307,0.12939268614502428,1.776668561610995,0.515671975146482,5.47503945843681,1.873600266931355,7.924138594960753,2.7172450561316412,7.087749484940412,7.288867642380273,0.5128826221059285,1.9140389374054063,3.2934205206538447,0.5626841946109945,7.081744407657908,3.1070820519689404,1.2940000911867888,0.16552424620053785,0.03630358985334266,0.1865381924773444,1.9683591579173951,0.21001106857795024,0.19626185239918784,0.934184424837956,1.0663433623726708,0.2393705905912054,3.1462718553889926,1.5877595527191468,1.4180677314628893,0.001875731440293625,0.03174342414287522,1.8154407361948992,0.030648397081685423,0.390512893148663
HIA,0.6706534024397357,2.581506042865515,0.040978837510072676,0.3281614055320516,1.7443064388724319,0.9744802539363606,0.10914544296235298,1.5544379164298012,3.539100553966448,0.6200099062084422,1.048237578896444,0.6396303566327224,2.750175997067832e-09,0.08895094748968209,0.32006806401718985,1.7995652562746192,0.5685536903667471,0.002898917455081445,0.6761280773475872,0.10905828761043083,0.0012428550358453776,0.3262544862570589,0.24289289038509432,0.05475039790673697,0.33721706791746575,0.012229396524853439,0.00917534835032457,1.4242511420001325,0.011256871794709827,0.05026511744595199,0.7304361959698739,1.2082236467884144,0.0631068720577349,1.8008667573775572,0.4480124901662617,0.0831497434346934,0.9503074389058764,1.5027675075240101,1.4996637026699444,0.1146647235894048,3.121777867304618,5.742876601035932,0.7572208304077972,1.0695911389191604,5.204493583510734,0.26607335160980905,2.990926621626167,3.3312261946618222,1.2597145972078505,2.944942705046398,1.2137042396231519,0.09096867522342235,3.2786580083119925,3.432303586123462,1.439227644311653,0.3555682542546817,5.104620957350177,8.100086087859925,7.791503256208358
F(20%),0.0011787610065729008,0.8331096851164994,1.0252664881178786,0.06613277072921972,3.408043059542524,1.650895227685812,1.9711311657387205,2.166237723173862,13.107244665110173,0.013683645735214123,0.7164133332180814,0.3284231654119715,0.9659340382826594,0.3814941153875256,0.17496670634217693,3.3570249216990193,0.026418367705033058,2.382810162061508,0.3809572825984529,2.2169206101359826,3.263981706214316,0.05703899491377158,1.303325366856798,0.11756066765850395,0.06839835015165485,0.018382867645348612,0.05609969000681431,0.14713357771728422,0.15734055973418745,0.9675138704732664,0.6637116357535037,0.39364783473043236,0.0731158174090435,0.3708631912805652,0.04627035640688942,0.7158665407211646,0.6306149686777628,0.01448452967830315,0.07353999127915808,0.01018080737743113,0.29591332408776194,0.06490437268806025,0.4435871678133306,1.3649344593705632,0.03072458149446533,0.2983334047826101,0.029660020250627726,0.5574996299584789,0.1204652389774807,1.0046304214126882,0.9678006385972864,0.6154638607093217,0.49615927358110923,2.591162001636369,0.15211795863210018,0.23911689240924944,0.3104070620434312,3.1703652435548584,2.492439086346343
F(30%),0.002227966893164779,0.911385950604786,0.5066331725510368,0.019576136630209788,4.21384249208596,2.108796211747263,1.2063669551577658,1.6874481960095777,9.989375207397988,0.21139504743489623,0.9301169869468211,0.1930555714696181,1.3832642539565692,0.38377522757029137,0.37949864313946285,5.455213933398607,0.22472229490638415,2.606823227454046,0.7258016668047651,3.0709360428213333,4.487968255630151,0.1719851412373305,0.03584923700869368,0.019665777622591075,0.5481991189732839,0.02444581252048964,0.0040667615266287436,0.15175734392053186,1.3070738364710204,0.45052905926570946,0.03737201070859228,0.5452705196558542,0.7406824720640784,0.649730595249752,0.4390355276107127,0.4645255325082205,0.2579628541126753,0.005645147035094521,0.3848300259855049,0.9739870616294678,0.7367206644917202,1.3135985603521936,0.017387270097570757,0.3628757074855081,0.9757148470995644,0.5400527605873137,0.13898175932534776,0.26260825739611793,0.6099591696919121,0.42038909373339667,0.14115043422576948,0.03709025736365182,0.6488468166838407,0.00404870670724779,1.0547488124593365,0.014835193838265618,0.972545686656646,0.020190768275277278,7.599501323532717
Caco-2,0.9804334964573749,3.513120127674401,0.010834850843680851,0.6991810830856475,0.008836385077759294,0.4069503523757049,0.9470089211664342,0.03506623671917337,0.0021052650581071656,0.0262688812777504,0.6558079490657998,0.0628345791577432,1.0785524854563309,0.25127153153386,0.37590884808244923,0.9203158024927895,0.4280401286097646,1.1628944749640924,1.4567999757025618,0.6625935534021665,1.0149812809660197,0.08089248777141447,0.4744526819267409,0.001683824040082436,3.100441295318767e-07,0.000772102803490385,5.950265152012954,0.5279345119656125,0.4613458945364736,0.24735576986866822,2.6000197209055043,0.475230852666807,1.690401721543612,0.060185846771800805,0.06576881008275708,0.991100431026483,0.29685777821057363,1.0019913860787015,0.024635342867827186,0.19413046786007948,0.6818934029826276,2.0541809862868528,0.13542410725286078,0.3654540448912199,0.01955461459535384,0.0025935844074308004,3.932786819441261,0.25403847568502946,0.164874050265614,0.1735824066828807,0.06368683556175907,3.598792363001904,0.14025471688069066,1.422528295148028,0.7608421383184398,0.8420234517810385,4.787713823454095,0.0035838317741768034,1.8718423777085256
MDCK,0.6265742140395201,0.000227626780576773,0.006461741168518064,0.2502598581749318,0.4320037737060375,0.08630758730404045,0.005503417737642342,0.9754963038655038,2.5770294324236738,0.5773164035866318,0.3942993148999133,2.932452281002679,2.811965185233809,0.40816382527297074,0.4189919476273336,6.908661247228631,1.2907959663871564,0.6479792512388338,10.447455218715941,8.287259871897142,0.28597095579522835,0.5482274870145156,0.65652216103312,1.5073589017575089,21.643230345433263,9.89109358892105,0.7284251669541432,0.5212682795171225,0.3358584534425297,5.480071965290623,0.06539964719198041,0.2480660090862061,2.656337040786033,0.006282771171811031,1.310137824236765,1.3229497450106487,0.0500446045313143,0.00016434160010198645,0.10896954353450464,3.4949470894310255,0.009814855391720063,0.0865438069091924,0.04438674576454236,0.7759170182867487,0.18366904711498688,1.054550014784249,0.09175634869903226,0.03130122880214079,0.020853898111224463,0.4679082118795781,0.0014604041268297075,1.174877520275152,0.16444388874212423,0.14869829527260803,0.5922376573845917,0.9808294312936996,0.03548896984339793,0.19982731906213386,0.02962452284643557
BBB,0.14087253939364539,1.7359047420358042,2.616858837706674,0.003200364893741273,1.1586595536801791,0.0010495196156796692,1.0281502842407597,1.9942807139382974,0.058120875104568086,0.044811812182404036,1.955839083149494,0.17838357836072347,1.0221670681091328,0.020085692700560938,0.05948762318256389,0.001974547163504427,0.6271299911021008,0.7388367163036533,0.029934934160684552,1.7400969870891099,3.4797412458151933,0.3511501826049365,0.5783726611813517,3.917780798712933,4.7402450331333315,2.8239640222801112,0.05495066643477186,5.887721775147197,0.23881672933260328,0.3123058139508895,0.6967903116818791,0.8347049752892877,0.04656614683157292,1.8229984810830588,0.5578685536370561,0.34625384577483553,7.820763045389079,2.1719155332007403,0.3741107951963865,2.6274137720357023,1.873731058867022,0.032517398739626655,0.6048545962956661,0.8100490789020665,7.74946085729809,4.11079850717174,3.0988865319113703,10.175084783175556,0.12569138441631653,0.4010435021873913,1.809921657635674,0.013919326613595996,0.152297608454098,0.008897540140032955,4.332174155687505,0.44213563253555876,2.718193636131089,0.2309596437753034,0.0062777652909816245
PPB,3.8020441374190534,0.025980093395504063,1.2983312201173056,0.05288537344121483,0.200336142180492,1.4983186858726432,0.05424018550151224,0.966956557783903,1.1007202272653096,0.00015295395002814727,0.6247001150307421,0.7490787439675808,0.17292532022349036,0.012991297649425783,0.9741338806520071,0.919122388880785,0.4443975558878204,0.8272562221712753,0.011726628090148319,0.63393077085104,2.598278469104086,0.17153610968723704,0.10673495581149033,0.739146150559505,0.0257550424889555,0.12501122825925065,0.0024205394360235924,0.05441453131045563,0.3526511027022808,8.991160564716783e-05,0.1520882450992972,0.049898093157737404,0.017216847448781665,2.632933551891366,1.9270619393650874,5.029869708620128,0.7037868182214518,0.15134114649778418,0.09476010561512672,0.3882884445528163,2.2597422555046074,0.2601729872473439,3.702647867395571,0.6701658443603205,0.40701291720230337,0.8689892910842089,0.003164615245673749,2.271139392526052,0.998319494312107,0.05105193257263639,0.2630518607440276,0.09992247595692226,0.7147048188707749,1.9416500716755287,0.7228050929270785,4.041048328626818e-05,0.07086808386845846,0.46039548336590885,0.3072345275720276
VDss,0.7883343178520442,1.1623286522927134,1.4804947796887105,2.2250835737748873,0.12343581504354723,3.174658586471012,0.8773420198970853,0.535286477973779,0.832325214288893,0.1921962653320089,0.0005538917176073769,0.6281476684981172,0.03748035883355264,0.10068049934623283,0.0596830351843666,0.03509878801118811,1.0657128472982744,0.013523303345795655,0.3448734377349885,3.841781239174597,0.6456296626103644,1.5392202147211853,1.3015750630447023,1.5431401178722655,0.15662642853883174,0.5651700565998212,1.5046287690939317,0.689597634526295,0.22592719925680782,0.7185610689132714,0.03270674336019866,2.3789245310957354,0.094032199973637,0.00450638302320455,0.006481711191435419,2.7783366283302837,4.308603929596804,1.0188899436037335,8.422600882990539,1.1580987643979812,1.1350751493464049,5.109404622442919,0.012671183148391104,0.9536280888721648,2.130105678504063,3.9201338835038664,1.016128172606508,0.2040024556848989,0.00866039289603813,3.2106759275297563,1.1955991022253596,0.8685687980482415,3.722105281552696,1.3434273074802467,4.111823103187093,0.5299740578248757,3.797382237888177,0.35957969640612963,1.0175880453291706
