,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
# Atoms,0.08791874800012693,0.21099158431395343,0.035710502586840324,-0.1633703849003735,-0.03885050148882686,-0.021215043854045705,0.012918124607023289,-0.000490611311026472,0.008304431244550296,-0.037482980405481314,-0.0396818281158046,0.02526522307164975,0.11351010765575513,0.06583514678993409,0.025061988377271676,-0.051728207587606254,-0.00984513294225326,-0.03605984346724106,0.0061169247390765735,-0.010478196265602209,0.022791085849634695,0.01141952474678845,-0.07290332808748931,0.06283810759551696,-0.0336164623020741,0.017320153459283352,0.030793161417779824,0.015227307703082957,0.12402891978318929,-0.0403249845414682,-0.039385313249521874,0.06886259478499344,-0.05308826886969782,-0.029333255545829863,0.011467723139954087,-0.04436045460792605,0.02997140136800995,0.048343954133561684,0.01820019156732471,0.005850216704087483,0.045174631449031846,-0.05074853118100163,0.06750743053726656,0.09364666842059055,-0.028807892375854332,-0.010946565651516341,0.10224440634919656,-0.08382545794840343,0.05912615474064082,0.08504411572753712,0.028342060128042853,-0.02765646793069516,-0.026050579111520537,0.08570459891755304,0.0017428397380496647,-0.09921398118117435,0.0389808250083927,0.020843187752301783,0.08884493376515547
LogS,-0.21625808016087744,-0.008180521270682362,0.03665769333389171,0.009198257857262637,0.019699664787882765,0.10869822408666367,-0.022830021230960288,-0.054919027293023275,-0.01968840772419045,-0.016845973998241955,0.0018891467066330554,-0.06420793529990884,0.04579082687308028,-0.028626545308847055,-0.0826440796415627,-0.003703574395942888,0.08899337489367336,-0.05783045891555285,0.04567946716999021,-0.0048505849515477085,0.05708789011610359,-0.001308206896573334,-0.048841399720163645,0.0025637814373799792,-0.09191988268318216,0.08901674280280375,0.01470773440836754,0.0726513245734437,-0.0011558910959748245,0.04394424202957079,-0.024481235690403027,0.09655473987175528,-0.07950683727713469,-0.04509622057416609,0.011508817517124173,-0.10254551545403713,-0.06534642193929212,-0.028963679244315872,-0.030484055988987565,-0.049885997044399555,-0.01882638016633496,0.0305054474774126,-0.0940457205349385,0.03958774822775385,-0.038956599077867075,-0.05027042730994925,0.06006022867020563,0.1977960856796241,-0.0037224369339767423,0.012474986933134626,-0.032153272389840074,-0.05445276449301412,-0.19022029752708786,-0.11328614895130067,-0.028062147035105147,-0.02762369104038061,0.013292614399547844,-0.014597416713492423,0.03328036856277923
LogD,0.2205996835213896,-0.06446605365778242,0.043683688233498955,-0.03113437078102499,-0.08037525411477961,-0.04028612243876903,0.011883364388678264,0.06247266437583291,-0.003449626379580368,0.11180576250016774,0.03874703454648468,0.06306873357779899,0.039757825860460616,0.026051008492356836,0.04235025990695107,-0.06506690346967452,-0.00507582958672861,-0.007393918735348851,-0.07441301323201596,-0.043530802077356684,-0.09362359204345355,0.04671617977843542,-0.016532344748663462,-0.03639888364678078,0.036928250177783443,-0.06283881472440274,0.04625623725657579,0.003871903070235436,0.06218954798319179,-0.04242922596753852,-0.02386002433503788,0.05014784603933638,-0.021694395700727197,0.07221852767634979,0.007273842602336187,-0.01726768717742727,0.007356226126444382,0.05635563083816318,0.01664835234029045,0.02927883012285534,-0.07078504830372775,-0.05663300730434907,0.01906041010726764,0.01075988406063107,0.03645370760720191,-9.567779212700739e-05,-0.02767087827184529,-0.00585712934030962,0.005824007983349136,0.02785865693701076,0.05915620747945303,0.16987577230938902,0.09916508178661955,-0.009677734142015504,0.03715045461425029,0.026265902517201047,-0.010620492735430606,0.09383382383048806,0.03684809787367037
LogP,0.2201785304191204,-0.05335951385483928,0.016309373642397967,-0.023970906692608707,-0.09396484734423134,-0.047943777728047164,0.03569170913144809,0.09429738548710107,-0.0031444729908172986,0.05839559233355743,0.0674109145743666,0.07606030080739837,0.010721223978293476,0.003550647466876139,0.07255001977024826,-0.07759472313967868,-0.0016558520420033584,-0.02050620013709481,-0.0722428795324222,-0.06758978748341357,-0.14196455079293852,0.006527608881294956,0.001231315955244422,-0.05334840581817848,0.03214849349067424,-0.04675910205105088,0.09773177714829868,-0.011066375517887129,0.05257992660110472,-0.02877252807069596,-0.040597750350600204,0.03033141955214714,0.023431635083482637,0.049036176465954456,0.01972468752839928,-0.004301672382564951,0.00012604117584211205,0.044919112939535266,0.03763497688319535,0.024500149671133984,-0.03376381922277584,-0.03822184247426723,-0.020285191938714912,0.03356705971426486,0.06130783661734895,0.06195025513644233,-0.0745142507241375,-0.00808416313657255,-0.010334590890996486,0.0638256967433166,0.07708668905759017,0.08929941466008509,0.1147350967538633,-0.02702806168832965,0.062027452081315805,0.01308381752540534,-0.046686961590880906,0.07322326509746707,-0.025510581766309263
Pgp-inh,0.15210171982475373,0.014876569900754838,0.05349408297083055,-0.06434058677382337,-0.05442665939177749,-0.09522342087642223,0.06677671111800584,-0.06740126003758187,-0.05672868309945661,-0.09624566756915648,-0.12605627968140787,0.16066031834668784,-0.13124535249870212,-0.10830263791193065,0.026425952902229773,-0.06820491681672614,0.09711792917594375,-0.03549120581262165,-0.023075231835810048,-0.06317574919674974,-0.08872381828265728,-0.06794867137219715,-0.14330591971844306,0.1349867888358236,0.10780935369533046,0.0053183901592116015,-0.2048485570621889,0.1815719110772155,-0.16076425906795883,0.16986114884151918,0.16591768095342524,0.06508881867043037,-0.17248810721771474,-0.048120778385900745,-0.2677933181323142,0.07539187009681088,0.16281969148176345,0.017212368004568032,-0.11891019398606498,-0.05397158936777227,-0.189148125750761,0.1473682635838143,0.042960889452825016,-0.11076721368611038,0.2323387786673327,0.17614709864140565,0.17391392744229672,-0.08660403584406903,0.0736689580140162,0.028765053582983306,0.26306007626933603,-0.20014965094123008,-0.11208528681112409,-0.0035573325496662464,-0.0495869273799857,0.06967327226345714,0.17960399648428413,0.0463922016698911,-0.08436568219560128
Pgp-sub,0.020459586680911437,0.08046428389017325,0.11958267339648837,-0.183289612208204,0.0650394861365578,0.13714071918140014,-0.0633660587398983,-0.10714729161107565,0.024983063364728518,0.007204482042381832,-0.04871923988880891,0.03683151098413993,-0.025054693236324144,0.008929687095748678,0.15684026839077048,0.05256023223676922,0.19786159960214045,0.20969887082026004,-0.0590839549151391,-0.21823030870145532,0.05057449185932171,-0.059199639521292174,0.08724863382100506,-0.098501920153331,-0.1495253230972302,0.04223733124539867,-0.03597119488493872,-0.13329173123682478,-0.07181030393658572,0.23398802230962173,-0.13687951880874488,-0.28149846527042993,-0.16484068236123145,-0.26622827582622427,-0.2699790296000834,-0.07161582381750062,0.13834879607012873,-0.18147783668133818,-0.07501227863563371,0.26611547132134034,0.1762691706444704,0.11375412481254424,-0.04068467109373479,0.019053500952145946,0.043190067431915904,-0.1402982237206657,-0.045826964614509455,-0.04430145058563974,-0.09665321644094191,0.10326390281084048,0.0489255138543486,0.17737733382225002,0.12600633129804029,-0.11908264909141424,-0.004330971531069703,0.017816684355646872,-0.13473829211456184,-0.017506683604179687,0.06249103080832187
HIA,-0.08189343089892721,0.16067065826919102,0.020243230352409824,-0.05728537383416918,-0.13207219385140956,0.09871576641734396,-0.03303716739709277,-0.12467709959851489,0.18812497319511967,0.0787407077824705,0.10238347419854651,-0.07997689395273629,5.244212044785979e-06,-0.029824645427847407,-0.056574558241067115,0.1341478757295328,0.07540249931976714,0.005384159595592838,0.08222700756731854,0.03302397426271264,-0.003525414920041863,0.05711869100890342,-0.04928416483872829,-0.023398802940906387,-0.058070394170994376,0.011058660192289769,0.00957880386599734,0.11934199353120138,0.01060984061836455,0.022419883462219854,-0.08546556007947725,0.10991922701640569,-0.02512108119841478,-0.1341963769025661,-0.0669337351539761,-0.028835697223180412,-0.0974837134554217,-0.12258741809517038,0.12246075708854431,-0.033862180022763574,-0.1766855361172674,0.239642996998367,0.0870184365756934,0.10342103939330527,-0.22813359207952544,0.05158229847629991,0.1729429565384542,0.18251647034341378,-0.11223700803246009,-0.17160835367331037,0.11016824586164352,0.03016101377994817,0.18107064942480314,0.18526477231582542,0.11996781419662746,-0.05962954420877972,0.22593408236364382,0.2846065018206702,0.27913264331153326
F(20%),-0.0034333089091616886,0.09127484237819859,0.10125544371133227,-0.0257162926428402,-0.18460885838828323,0.12848716775171803,-0.1403969788043432,-0.14718144323160648,0.3620392888225003,0.011697711628867458,0.08464120351330559,0.05730821628806568,-0.09828194332036072,-0.061765209899062506,-0.04182902178418433,0.18322185791272327,-0.016253728096973053,-0.15436353721204715,-0.06172173706227428,0.14889327083975218,-0.18066493036044146,0.023882837962388704,-0.11416327635701408,0.034287121147524746,0.026153078241701273,0.013558343425857235,-0.023685373124950816,-0.038357994957672656,-0.03966617699428411,-0.0983622829377839,-0.08146849917320825,-0.06274136073838628,0.027039936651006312,0.060898537854415305,0.02151054541542111,0.08460889673794152,-0.07941126926814374,0.01203516916304177,0.02711825792324392,-0.010089998700411777,0.05439791577696357,0.025476336606360863,-0.06660233988482167,-0.11683040954180392,-0.017528428764286123,-0.05461990523450313,-0.01722208473171228,-0.07466589783552323,0.03470810265305217,0.10023125367931343,-0.0983768589962745,-0.07845150481089075,-0.07043857420342278,-0.16097086698022006,0.03900230232077334,0.04889957999914205,-0.055714186886593915,-0.1780551949131183,0.1578746048719155
F(30%),0.004720134418811378,0.09546653605346674,0.07117816888281381,-0.013991474772235335,-0.2052764597338418,0.1452169484511799,-0.10983473745394784,-0.1299018166158417,0.31605972864947524,0.04597771715025614,0.09644257290983174,0.0439380895658446,-0.11761225505688469,-0.061949594637115316,-0.061603461196548234,0.2335639940872437,0.047404883177409554,-0.16145659563653772,-0.08519399431912815,0.17524086403636935,-0.2118482536069191,0.04147109128505425,-0.018933894741625046,-0.014023472331270548,-0.07404046994538081,-0.015635156705479367,0.006377116532280666,-0.03895604496359092,-0.11432732991157538,-0.06712146149077126,-0.019331841792388088,-0.07384243493113249,-0.08606291141159925,0.08060586797806672,-0.06625975608246024,0.06815610996148627,-0.05079004372046507,0.007513419351463435,-0.06203466982143979,0.09869078283352849,0.08583243352554562,-0.11461232745006944,-0.013186079818342814,0.06023916562216877,0.09877827934822331,0.0734882820990744,0.037280257419356394,-0.05124531758084031,0.07809988282269778,-0.06483741926799652,0.03756999257729095,0.019258831055817435,-0.08055102834128447,0.0063629448427970775,-0.10270096457479533,-0.012179981050176397,-0.0986177309948189,0.014209422322978952,-0.2756719304450985
Caco-2,0.09901684182286245,-0.18743319150231644,0.010409058960194645,0.08361704868539951,-0.009400204826363778,-0.06379266042231702,0.09731438337504039,0.018725981074211664,0.004588316748119256,-0.016207677587412192,-0.08098197015791847,-0.02506682651588414,0.10385338152685888,-0.05012699188399994,-0.06131140579716378,-0.09593309139670152,0.06542477578179123,-0.10783758505104293,-0.12069796915037799,0.08139984971743901,-0.10074627938370824,0.028441604696538197,-0.06888052568954019,0.004103442506094651,-5.568160643622602e-05,0.0027786737906605463,0.2439316533788296,0.07265910211154636,0.06792244802246702,-0.04973487406927537,-0.16124576648413141,-0.06893698953876695,-0.13001544991052452,0.024532803910641936,0.02564543040831194,-0.09955402709215151,-0.05448465639155428,0.10009951978299904,-0.015695649992219885,0.044060239202718766,0.08257683712655917,0.14332414263782822,0.036800014572396685,0.06045279521173688,0.013983781532673423,-0.005092724621880513,0.19831255178231308,-0.05040222968133747,-0.040604685722908145,0.04166322199288969,-0.02523625082332143,0.18970483291160253,-0.03745059637451596,0.11926979060717885,0.08722626544329637,-0.09176183584590264,-0.21880845101261737,0.0059865113164319665,-0.13681529072835855
