,Explained Variance
PC1,0.2475635711267055
PC2,0.22077131453717366
PC3,0.08613735224403998
PC4,0.04700618947286612
PC5,0.043916982791615884
PC6,0.036424578117465495
PC7,0.03080923008187803
PC8,0.027500643437415612
PC9,0.02687278881459859
PC10,0.02234544850552879
PC11,0.021612926844975625
PC12,0.019017082589177503
PC13,0.016563892170031302
PC14,0.016298597416636532
PC15,0.014681289525259267
PC16,0.014008055042197418
PC17,0.011599808014817902
PC18,0.010104068676273727
PC19,0.009648372916513642
PC20,0.00906872361467953
PC21,0.008961458997330524
PC22,0.007843581990782859
PC23,0.007389862695450678
