,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MW,4.301183971629601,3.3304496845599196,0.0009314167618776432,0.16616507960581178,9.350812194887079e-05,0.08047062882321446,2.9456391219797107,0.2196354810992261,2.056632320716105,0.5358171882704474,0.2076327889374246,0.23085103310973026,1.035896931085755,0.0007301611746177287,0.14044233694283406,0.11803984141223409,0.5552925684144309,2.6331355580272926,0.019173148693657504,0.07737486744619357,0.27292080809574865,2.192765895559843,1.6465796064454974
#Heavy atoms,3.939629615239653,3.7946089507858343,0.00011023157095362658,0.2811062528852412,0.001699195859469096,0.00024175156828933002,3.452808805560317,0.18138218096276748,2.8099071573024017,0.21459109092644724,0.5491669957474975,0.06373442076738606,1.5391112922832835,0.2060643701788679,0.014952745725598519,0.004824285304973781,1.743044004038738,2.5912684333869804,0.09005355430768978,0.22567873678637274,1.77805288234444,0.6623694123146173,0.5820120959291033
#Aromatic heavy atoms,0.043230385299338515,3.1591900254929675,0.02179033699853839,6.495899452727652,8.734329919433428,8.54699321944532,0.6921177187571556,2.985001711826273,0.26770473736385053,0.010757643729630657,1.671578924480812,0.14491241902896457,0.15481478820517222,0.38683211196792244,0.009384875402506388,0.7876739917837056,0.4308788863855968,0.6696017674332735,0.20638452989211797,2.6456142201888824,2.4789543232032214,0.7993753767235996,0.00044647821436397876
Fraction Csp3,0.4043907388860607,0.071933839400804,0.012023862711998299,8.296356689345755,12.080207475301597,14.397230721854804,0.6885376406834491,6.999106460934129,0.03048824298895966,0.0530008025984599,1.2441249089400988,0.9142254611792361,2.5056026658535435,0.02909823707489802,0.015319395438955004,3.8073967690087613,0.28412809099683284,3.352474511752538,0.8017237892537233,2.771579000605513,0.12251138180532103,1.7930265383985302,0.0035023408741758533
#Rotatable bonds,3.361480161421816,2.1863183044323935,0.056041806578289825,0.010073916523748977,0.004948608724528244,0.02931971703139482,1.7838699487397875,0.34818182202956655,0.10861512510499305,0.5129637505234033,1.384840993572327,7.822912382852366,0.13204818263267715,5.47307052984274,4.789089556203839,10.711358147379341,0.8160485188547836,0.6359635798477242,0.3690084505969859,0.15108638912280334,0.010444607744621607,2.170674909021884,21.06870923763939
#H-bond acceptors,6.677453917923367,0.18867252863581693,0.002267980726352551,0.7972860546879151,0.16226072382068024,0.326497310218796,0.12304148012084178,0.18158808655038663,0.6187822031249031,0.0001043841457724128,0.22043635398088784,1.537758587986108,0.2683256392434609,0.023530594432505953,0.15725805119832562,1.2486535370190783e-06,0.029355927599778623,0.01031153916101518,2.1171895864317936,0.26746711447939586,0.5763999019144228,6.938070346048537,1.6950642760231394
#H-bond donors,5.781076771054974,0.03256627452859679,0.009414681268768467,1.3242404130497571,0.33198574658296265,1.2501629284715248,2.1018851573088213,1.2223631646604183,0.4073094524798371,0.06304556757516855,0.1517106864091427,0.5315592517284518,0.0021587187770665595,0.43896648257250165,0.4052890241955763,0.017538192907573063,1.8102305935012613,6.9460986199150305,0.2759546670819583,2.6517838111977574,2.886097401684655,7.7682841998797505,3.748732492761833
MR,2.9799558507206467,4.591505897256038,0.00046204269319871503,0.1231852438556547,0.0006977950486876111,0.0027983445012908378,4.7351432519692525,0.028301430221585367,2.5427913344453468,0.26712477413073776,0.40044878115540367,0.5919757726271196,1.091992022555616,0.3063557764130748,0.027357164856789764,0.00119288852998884,1.1820053624870999,3.037329223253635,0.01419233320947091,0.006678142496985429,2.121730981975135,3.0007558277377164,0.6907042888527827
TPSA,7.060994468540381,0.013213435018565397,0.04160211925087587,1.7747946560647931,0.14618087219740522,0.010238885224548057,0.39736581566202755,0.05320051062916867,3.217134216380761,0.18416048249475528,0.9674951845670505,0.020400265020829266,0.21901078040228142,0.4031599016880583,0.0704823107133264,0.20812019804410226,0.3720467475681873,0.602129781506135,0.13374835767553983,0.44882345200483914,0.0003020685530255375,1.483456731490054,0.4511622834995931
iLOGP,0.31791771304020844,0.341241065220108,0.17456571393698958,1.1483517311125797,0.2894155759876579,27.449677212167405,2.0517219599246364,21.410861714339614,0.0008003887692681455,0.38541164523847227,1.1313440750350894,0.11404208475382391,5.035528597770032,2.3383836323115736,1.4052818633806692,0.12215368338228645,1.4311803463736226,0.2685537859020679,0.2113551008172498,4.751057536466234,3.0019106684907952,0.30943616057471446,0.10741086359081435
