,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MW,0.2073929596594253,-0.18249519677405004,0.0030519121250089138,0.04076335113871426,0.0009669959769764852,-0.02836734545621329,-0.17162864335476488,-0.046865283643569886,0.14340963428989367,-0.07319953471644798,-0.04556674104403613,-0.04804695964467786,-0.1017790219586411,-0.0027021494677714067,-0.03747563701164186,-0.034356926726969356,0.07451795544796107,0.16226939200068796,-0.0138467139400139,-0.02781633826480285,0.05224182310139536,-0.14807990733248869,-0.1283191180785427
#Heavy atoms,0.19848500233618793,-0.1947975603231683,0.0010499122389686982,0.05301945424891141,0.0041221303466400655,0.0015548362238169333,-0.18581735133082472,-0.042588986952352755,0.16762777685402863,-0.04632397769259967,-0.07410580245483465,-0.025245677009616135,-0.1240609242381856,0.0453943135402297,-0.012228142019783105,0.006945707526936174,0.1320243918387333,0.1609741728783528,-0.030008924390535874,0.04750565616706842,0.13334364935550697,-0.08138608064740663,-0.07628971725790468
#Aromatic heavy atoms,0.02079191797293807,-0.17774110457328018,0.014761550392332904,0.25487054464428893,-0.29553899775551484,-0.2923524109605618,-0.08319361266089813,0.1727715749718764,-0.051740191086219474,-0.010371906155394317,-0.1292895558226113,0.03806736384739093,-0.03934651041771966,0.06219582879646536,-0.009687556659192447,-0.08875099953148166,0.06564136549353593,0.08182919817725662,-0.04542956415068476,0.16265344202287516,0.15744695370832745,-0.0894077947789565,0.0021130031101822336
Fraction Csp3,0.06359172421676115,0.02682048459681594,-0.010965337528775978,-0.2880339682979379,0.3475659286423453,0.3794368290223658,-0.08297816825427327,-0.2645582442664398,-0.017460882849661314,0.023021903179029288,0.11154034736094824,-0.09561513798448634,-0.15829095570668408,-0.01705820537890726,0.012377154535253655,0.19512551778300968,-0.05330366694673388,0.18309763820848535,0.08953902999551225,-0.16648059948851432,-0.035001625934422104,-0.13390394088295277,-0.005918057852180778
#Rotatable bonds,0.18334339806553757,-0.14786204057946709,0.023673150736285564,0.010036890217467247,0.007034634833826302,0.017123001206387514,-0.1335615943578013,-0.059006933662881206,-0.03295680887237007,-0.07162148773401758,-0.11767926722971755,-0.27969469753379966,0.03633843456076184,-0.2339459452489559,-0.21883988567452325,0.32728211297563065,0.09033540384892204,0.07974732471047066,0.06074606576536346,0.03886983266272229,0.010219886371492397,-0.14733210475052222,0.45900663652761503
#H-bond acceptors,0.2584076995355086,-0.043436451125272335,-0.00476233212444549,0.08929087605617467,0.04028159925085896,0.057139943141273436,-0.03507726901012131,-0.04261315366766305,0.07866271055111838,0.0010216855963182253,-0.04695065004671266,0.12400639451198105,-0.05180015822789162,-0.015339685274641714,0.03965577526645087,-0.00011174316699552947,0.017133571606579474,0.010154574910361923,-0.14550565578120309,0.05171722290295523,-0.07592100512469672,0.26340217056904713,-0.1301946341453111
#H-bond donors,0.24043869844629784,0.0180461282630366,-0.00970292804712498,0.11507564525344867,-0.05761820429195641,0.11181068502032912,-0.1449787969776553,0.11056053385636384,0.06382080009525398,0.025108876433478367,0.03895005602167252,-0.07290811009266746,-0.004646201434577023,0.06625454569857847,0.06366231414232257,-0.01324318424985965,-0.13454481013778502,-0.26355452225137466,0.05253138748233847,-0.16284298606933478,-0.16988517892048893,0.2787164186028472,0.19361643764830083
MR,0.17262548626204205,-0.2142779946064468,0.002149517837094437,0.035097755463227936,-0.0026415810581687828,0.00528993809159506,-0.21760384307197445,-0.01682302892513276,0.15946132240908284,-0.05168411498040164,-0.06328102252298108,-0.0769399618291509,-0.10449842211993515,0.05534941521037735,-0.01654000146819515,0.0034538218396275746,0.10872007001869988,0.17427935113643372,0.011913157939635875,0.008171990269809078,0.14566162782198797,-0.173226898250177,-0.08310862102410214
TPSA,0.26572531811139827,-0.011494970647446395,-0.020396597571868656,0.13322141930128173,-0.03823360723204196,-0.01011873768043626,-0.06303695865617465,-0.02306523588198669,0.1793637147357503,-0.042913923439223685,-0.098361333082012,-0.014282949632631655,-0.04679858762850449,0.06349487394176469,-0.026548504800332245,0.04562019268307647,0.06099563489039092,-0.07759702194711697,-0.03657162256115252,0.06699428721949648,-0.001738011947673368,0.12179723853561109,0.06716861495517036
iLOGP,-0.05638419220315286,-0.058415842476173235,0.04178106197034602,0.10716117445757017,0.053797358298308444,0.5239243954252122,-0.14323833145930717,0.4627187235712382,-0.0028291142947363323,0.062081530686547357,-0.10636465931102726,-0.03377011767137093,0.22439983506611652,0.15291774365035526,0.11854458500415234,0.03495049118142498,-0.1196319500122615,-0.0518221753597886,0.04597337281701768,0.21796920737724015,0.17326022822594903,-0.055626986308330115,0.03277359662759253
XLOGP3,-0.1742490001960887,-0.22700058902082276,-0.014041066932490123,-0.14094931532382518,0.10256738232712853,-0.07949942618678314,0.1136486997224055,0.004693521404732436,0.02573416798883362,-0.01673569844449506,0.012541452772044435,-0.08369567907071038,0.0011790663642640906,0.09900254912677653,0.04352784040892388,0.017187587974763562,0.0594488747511688,0.025598588489812963,0.0197850285538791,0.03859442921968452,0.010011607557063942,-0.0007700881434652032,0.1375508409297574
WLOGP,-0.11607370971868358,-0.19410131239663875,0.0012480758119835593,0.00988306645285172,0.03574840815635337,0.12979028481698263,0.06893280163765014,0.06091453534234163,0.037648058059143195,-0.13169890462097847,-0.02807390664924069,0.40404919411673007,-0.09037586036656253,-0.335107493749909,-0.13373732067269917,-0.00942845180282487,0.15009147614570878,0.2134910478105241,-0.21441809289858926,-0.059288637299274534,0.025841927267347006,0.32342280689331393,0.11156943129158577
