MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
594.66,40,6,0.56,10,10,2,148.41,216.16,2.79,0.66,-0.59,0.29,-0.6,0.51,-3.39,0.24,0.000404,3,-4.78,0.00997,1.68E-05,2,-3.2,0.377,0.000634,3,0,0,1,0,0,0,0,0,-9.46,2,3,1,1,1,0.17,0,2,2,5.8
471.53,30,5,0.53,10,9,2,111.62,239.23,1.17,-0.6,-1.11,0.05,-0.86,-0.27,-1.85,6.68,0.0142,4,-3.95,0.0526,0.000112,3,-1.65,10.5,0.0222,3,0,0,1,0,0,0,0,0,-9.6,1,1,1,1,1,0.11,0,1,2,4.91
461.49,32,6,0.45,8,6,4,124.48,173.45,1.32,0.07,-1.37,0.87,-0.99,-0.02,-2.36,2.03,0.0044,3,-3.27,0.25,0.000542,3,-2.58,1.21,0.00263,3,0,0,1,0,0,0,0,0,-9.07,1,1,1,1,1,0.11,0,0,2,4.68
480.56,32,5,0.53,8,7,2,126.84,203.58,-4.41,-0.71,-2.03,-3.95,-1.81,-2.58,-1.96,5.27,0.011,4,-3.09,0.391,0.000814,3,-2.83,0.704,0.00147,3,0,0,0,0,0,0,0,0,-9.74,1,2,1,1,1,0.55,0,3,2,5.09
349.4,24,0,0.44,5,5,3,93.34,138.03,1.57,0.45,-0.03,0.75,-0.18,0.51,-1.96,3.83,0.011,4,-2.92,0.423,0.00121,3,-0.75,62.4,0.179,3,1,0,0,0,0,0,0,0,-8.11,0,0,0,1,0,0.55,0,1,0,4.84
380.42,26,6,0.47,6,6,2,98.25,130.47,2.07,1.22,0.57,1.01,0.78,1.13,-2.74,0.689,0.00181,3,-3.56,0.105,0.000277,3,-2.75,0.67,0.00176,3,1,0,1,0,0,0,0,0,-7.75,0,0,0,0,0,0.56,0,0,1,4.08
339.32,23,0,0.46,7,7,2,80.31,162.1,0.8,-0.45,-1.18,-0.77,-0.53,-0.43,-1.2,21.5,0.0633,4,-2.49,1.1,0.00325,3,-0.7,67.7,0.2,3,0,0,0,0,0,0,0,0,-8.69,0,1,1,1,1,0.11,0,0,0,4.34
349.4,24,6,0.44,5,5,3,92.56,138.03,1.15,-1.13,-0.39,0.75,0.01,0.08,-1.15,24.8,0.0709,4,-1.28,18.5,0.0528,4,-2.21,2.15,0.00615,3,0,0,0,0,0,0,0,0,-9.23,0,0,0,1,0,0.55,0,0,0,4.16
453.45,30,5,0.25,9,9,4,109.91,238.05,0.62,-0.68,-0.92,-1.07,0.11,-0.39,-1.75,8.02,0.0177,4,-3.84,0.0649,0.000143,3,-0.75,81.4,0.179,3,0,0,0,0,0,0,0,0,-9.55,1,1,1,1,1,0.11,0,2,2,4.81
233.24,15,0,0.75,1,5,1,54.13,100.13,0.52,-1.01,-0.1,-0.11,-0.94,-0.33,-0.58,60.8,0.261,4,-0.61,57.8,0.248,4,-0.1,187,0.804,3,1,0,0,0,0,0,0,0,-8.44,0,0,0,0,0,0.56,0,0,1,3.84
