,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
MW,3.879991341353288,4.198076146474249,0.0771460069592546,0.47614389522473044,0.10866256676104369,1.2296866055997868,0.13299302132850752,0.11596238864085064,0.006854750615042735,1.6116173539146232,0.18193919027907637,0.17475937808509587,0.8298412756732163,0.01097684398578417,2.0523495847228483,1.6183441514241736,0.6280879956918451,0.008014637039555047
#Heavy atoms,3.5367220247420237,4.396260160351708,0.07526232232630942,0.7529215557117884,0.22349793901073875,1.6815766233052094,0.20678672663103043,0.11829840838992968,0.028736797190322842,1.7379430069053607,0.3426635132926402,0.534940148757477,0.7893496460816248,0.9759095550699539,1.5514157569921192,0.9084988688909087,0.01837163408367662,0.3637941004728351
#Aromatic heavy atoms,0.4478443147007362,4.366130383958289,0.4950449509132915,6.542973936831281,1.1907355617506004,4.839835788521455,0.0002545418405927468,0.2989352966332434,9.12990145159234,1.8341626536770308,0.3674546509685949,1.6965964760273802,2.0134561271489675,0.09378770251014068,0.0024809495735045625,1.3877083897056026,0.025931266070654345,0.03592423381251043
Fraction Csp3,0.13485774806069914,0.9332192627612578,0.2546055968539099,8.862319516133379,6.629982236057808,18.084826905532196,1.1659372581123668,1.3092727153861412,1.7449814542842217,0.08797010471460648,1.6450925554053115,3.2731221495268303,1.8598402108538323,0.6497408256343995,2.990566290063469,0.28946808400062723,0.6863620854744451,5.76734051558669
#Rotatable bonds,4.488209846053199,1.9671876833233972,0.227843656639992,0.019631601725163858,0.04897080361278171,1.3932269295313815,0.30595742151764527,0.34672415608499624,4.5251358292734505,0.37599525839919623,0.2673348659948097,2.840509391946857,0.00016589923034721757,0.025250084985895174,2.4468387020467057,3.310901963347843,1.6428035470027993,0.9489916895363609
#H-bond acceptors,5.287487813290856,0.6246888633158393,0.1452581691284252,0.005723305615779443,0.8191768549326182,0.4685916169038619,0.19416415643411228,0.6512072107156559,0.7214802111511567,0.00742777443728968,0.4188280075438323,0.08567980764185258,0.8794292269504422,3.6647901289141576,5.833078812276557,6.074474946522747,0.02776545354470049,5.765868830291402
#H-bond do0rs,3.406474502030349,0.19390489527567834,0.2754364105749326,1.4221978749724105,0.3510784276111956,0.060261926872722395,6.307054849419734,1.224847896817865,0.050425418508148336,2.0343273405893947,3.961990406737507,0.752344797059308,31.70815663557432,0.43175043504747923,0.3700656503147145,0.038505595006481264,7.364646175554429,1.1269302827553955
MR,2.694663134191504,4.89561695448011,0.05347869094530482,0.8212198185151681,0.9186625849382062,2.86808761442647,0.5037301967200414,0.08261483738362997,0.0010392627783287847,2.152426258912877,0.2513551283573661,0.6301270467447697,1.5399386760942708,2.5012136369415354,0.8752443755783117,0.6429032406375886,0.3075047631839938,1.1389171270600986
TPSA,5.814488110218426,0.5267068565652612,0.034895288760082716,0.14899689286883647,1.3562529592315231,0.2816447569402498,7.922919913322408e-06,0.1792982502928087,0.4728678883077886,0.0006873887748042179,0.07616957073436761,0.0271850334173102,3.9674716392647755,2.1761856114007556,2.19689509279137,4.220827997059702,1.3710233374026044,3.824365452560716
iLOGP,1.2698489326087108,0.5868784639532834,4.518497507348757e-05,0.5324521594070781,2.462966105101831,1.824880827383472,17.096979689160833,2.2822509143110583,15.811954391920235,3.562069052188394,2.1992917148919275,3.5631401322706244,0.03367411132613816,1.2931677905150172,7.309150336476103,0.3252841248669761,0.37300270972308064,3.3325813311340684
XLOGP3,2.427469111687938,5.329709125438233,0.08314905445576017,3.5654101946583956,0.1838111484041275,1.831363409874028,0.7011253793963167,0.030363808116862137,0.42061517501839046,0.07875006609034359,0.008973699466459236,0.0923454182843667,0.49717231080317953,0.44550635475322264,0.19754152026167995,1.1393149415994204,0.26306066069529493,0.041303714594496055
WLOGP,4.106500208308461,2.45658735639399,0.00012080609559917228,0.029139903924328834,0.31497444799735747,0.11469947339714645,2.5074818578597706,2.5080880070007185,0.25527009291185077,0.034828716875792545,0.0030480555016227954,0.9187178970591962,0.04764917129450886,0.0435775867924285,0.07015175672638051,0.05246098873721636,0.02392826637979833,0.4351343401192564
MLOGP,3.864609790724458,1.9709327356639113,0.5793515849069201,0.4449820500485955,0.6035070333588901,0.4332081470539957,1.6552984247213756,2.8077248288848304,0.127001272001044,2.066707610873602,0.2660779132745736,0.0905018429732265,0.08586366696711203,3.185926390680121,2.718547736744449,0.17315889078954874,0.21671252115717968,6.703292834880326
Silicos-IT Log P,3.1807144637808413,2.198082373277862,0.09630528659718113,1.3506319516253027,1.569483143400743,0.4092226898552943,0.31704669131566404,1.6459927447141012,0.8110990153854926,4.398719512343218,5.875572474635076,3.2288546691370037,1.4330730597485453,0.47479123898391706,0.5654462664056673,0.12879210881704484,9.568388535094238,2.418397531671397
Consensus Log P,4.166960034012663,3.513490790281219,0.00011458269110036314,0.05715542231446434,0.7078615065623864,0.0015694489347358772,2.7531903248516074,0.07822732587313572,3.2645328335762267,0.037663622655792574,0.00355151286722492,0.9494517958686133,0.371442306453802,0.178739546568133,0.0010842027122286593,0.005821090038592058,0.45090101831582924,0.5331813674283802
ESOL Log S,0.5927874767873015,8.700901393907266,0.11382993381726403,2.32513540145828,0.04756055368569866,1.4884072146952152,0.8202350087854738,0.04541862397225597,0.024000678152748547,4.8106349106445144e-05,0.06671174920722366,0.06210455028954356,0.19099984285781868,0.157860554994773,0.005670659005019452,0.73129059330246,0.014576436251943851,0.18003600103379544
ESOL Solubility (mg/ml),0.014105521017047378,2.6621915325861245,17.564360156803215,0.022115018382597242,0.6081449264526276,0.22754834464871637,0.03751201024517175,0.016263916128793854,0.09372723491400069,0.20056973079165874,0.08027173206238004,0.16806824390733555,0.0177940677581003,0.117559420288674,0.06951753108956486,0.0877341634152841,0.002479525577193837,0.16407380789063786
ESOL Solubility (mol/l),0.019185739501416145,2.571663416712693,17.680996867831993,0.01331351238051051,0.5794759149581633,0.3296048762363646,0.025201712628809797,0.015997610224781182,0.09306752352555611,0.22420302725845945,0.10181052284211611,0.2742743568696185,0.008771117686439471,0.13790593443685778,0.08000062882413665,0.15190894803114094,0.002932128088721674,0.21687111226473013
ESOL Class,0.16315241414051948,2.95133764708182,7.710158613075849,0.6949214018754222,0.03072399570648071,0.04359670724474687,0.1700776781679418,0.3958049753172239,3.148553023833479,1.3258079745041758,1.6613611989345998,18.022903477721446,4.37369697777019,0.09826608311091921,0.1698788524666828,5.3112025583748625,5.820017426086633,0.056280070715822694
Ali Log S,0.007989497522339153,7.631977055903906,0.13905300928625583,5.734156530474946,0.5718546041922762,4.301497051558906,0.41970761665362477,0.05966838526954088,0.19375914295015556,0.8710723223192666,0.1953885456198592,0.023203487012943468,1.1134995234790555,0.49805386125809276,0.2061616544969611,0.9735194207545622,0.0003134915296600095,0.2900358056368133
Ali Solubility (mg/ml),0.02247391395999709,2.5281501005934865,17.707988225832818,0.011132127931952188,0.5723632986480667,0.3815011796021517,0.019304365477582328,0.01599443249529331,0.08693538227823984,0.2534333015831533,0.11071229747099663,0.3692347159545563,0.0053984735229931306,0.15969993389977974,0.09398081053278243,0.21682619703419073,0.018326157317759453,0.25570619618356066
Ali Solubility (mol/l),0.022379803259120836,2.5090179232946035,17.74341552512158,0.00978003141015217,0.564372910871635,0.4006317306654398,0.018694069052501726,0.01646098916603879,0.09121328513224732,0.24644687613916608,0.11585558426015619,0.37136842273782134,0.004717036564234836,0.1519314243350105,0.09111821824051723,0.20520650988345718,0.016526653310466047,0.2559248865923672
