,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
MW,4.684096564167322,1.330246186923295,0.35591552915570046,0.0022568263700454443,0.0002578475231707847,1.589754577367188,0.04745048840917282,0.014431504306277527,0.03372829069119595,0.3133761954455427,0.013571268081986177,0.7243924684861307,0.28142861702234545,0.15529760995557962,0.07573542930739059,0.014429817013273205,0.8570699397393987
#Heavy atoms,4.574965884522579,1.4172681387406434,0.6097571561510537,0.014594919186480062,0.011269647019248383,1.9862769405602207,0.08350089594567746,0.022296180680449675,0.16300017420673935,0.1266303715150156,0.03371109455759344,0.6260521376340759,0.00173909804060902,0.10992515600049184,0.03509822761865693,0.06237791296514324,0.8008446016663546
#Aromatic heavy atoms,2.820306132013437,0.06730432700486663,0.1260899196402008,0.3325082035442403,10.676017654272682,7.382590838903915,1.0985053383108419,0.021550825560200385,7.6717859421963,2.289178779478911,0.6084860527114389,2.0041129881341857,0.4108140716555637,1.504421391034574,0.15366338012087652,2.9479396520321233,2.6912916995932368
Fraction Csp3,1.3887673666939306e-06,2.044739515230773,4.697708347220952,4.1595904540553175,20.53968347168669,0.11674747582513531,0.4379164004377872,0.04641918712706461,6.34420457126388,3.2683733255988354,0.4640454880360367,0.02587233084088696,1.6454286819833135,2.24358889057392,0.07157254920045047,3.5354836606262414,1.652987607032298
#Rotatable bonds,3.9671069408819504,1.612039913242413,0.9359101994436141,0.08334609496368678,0.00027279400786802023,0.04381993970615612,0.006510963293805985,1.8835744040992364,0.08277443569680261,0.3241825824824741,4.13474951384734,0.4557359182211922,0.14372390651011852,0.5883333568893161,1.117327816643939,0.08720894539947409,0.4724813158082033
#H-bond acceptors,2.1577314529627025,5.230608012955673,1.0529006782716723,0.2367599251155325,0.0003479728942449577,0.4601545832546968,0.29820279521076243,0.11622791191697719,0.2490847779503503,0.01399956345484066,1.1997272774413943,3.155880615220024,0.012170509322153715,0.07732945211662787,0.0916426316763016,3.688925547820998,4.462067860668395
#H-bond do0rs,1.6125121340818778,4.214393588121596,0.4843683267009605,0.7127150885410203,0.8488648087937442,1.0264181459792971,3.4788232042702663,1.065164842186794,0.3732484695711981,0.2164274406047077,0.35622248685268404,8.607403726495797,4.803449783361038,2.5443634819521,2.4181192462413907,8.483491296786095,0.23226632649661258
MR,4.6421267806926965,1.029826514192063,0.6555497405610601,0.05199847542762129,0.10245448992704123,2.229776364002641,0.020790942049698287,0.13822642207842908,0.025219996121302546,0.1356927998250444,0.056351369686109605,1.0223499611820122,0.021149832069388797,0.35303257408233013,0.03270271687331056,0.013812260066974226,0.4688577694676584
TPSA,3.7257088701088135,3.010568653120811,0.009749151427268194,0.7558285639687937,0.7417538499981222,0.4136933977475288,0.020274129730421635,0.00962445940064061,0.025313008302798548,0.11734268811641761,0.24586315559177208,1.022329947019014,1.6776196926917921,0.35178052321949743,0.03791852613758944,0.5651587095772747,0.5783242273191115
iLOGP,1.4533756352647986,0.3361175672767871,3.109408088269182,8.18984990222804,2.732050122915411,1.4781526298730947,2.879539709860672,0.24503402127275978,1.5100333506912729,0.5112397155395357,0.9352272231514297,0.09885334614005364,2.311484480679669,15.82383864622303,2.290256492412693,3.496037906913193,8.143949220218916
XLOGP3,1.9821057645190574,6.99031098840809,0.8019405947250903,0.1986889523679496,1.7948935064032345,0.0028336300487240974,0.0007758669781149371,0.2355584587037512,0.15785476284942226,0.03381421626110169,0.0018867536393550363,0.12196555627808059,0.3565608081002334,0.0004535572631292924,0.7166546947168473,0.17967046180420623,0.00015748341287092913
WLOGP,1.8420653776709532,4.373280174749322,0.9770918208913604,1.4049867532586902,2.5670480395950865,2.030498047911233,0.395165680736071,0.5148884309620185,0.27323872667012294,0.33641410215430406,0.8614189824413994,0.1867625807024499,2.949849179058811,3.8248718942956894,1.692898826874839,2.531643951721743,0.5107018622394635
MLOGP,0.14575539720694203,9.360823160241695,1.7392740634955606,0.09058403153747308,3.6877642987413766,0.0018639867853728375,0.024492220399208127,0.3749368382917232,0.12464768292503262,0.15655589037514214,0.32346881269017536,0.0036996282732786588,3.778061001562498,0.39149138511555054,1.8559949326614484,0.9869720886229911,0.14587694629089473
Silicos-IT Log P,2.297826316951625,3.2918109522921006,1.4883509487112228,0.4317139825828721,1.9798177234583918,1.4182950457315542,1.2462678985852982,1.2274782885572655,1.1764059324103313,0.8238065340581839,5.774757497346659,1.088422544627184,1.8338901002853878,0.11184169150938736,0.011973549517289671,0.24828070774702624,0.4316283000258849
Consensus Log P,2.406069014551031,5.653825851594197,0.17163569526506045,1.712739959501209,0.7356282074083836,0.0537838496505676,1.064900253633072,0.13447600798448184,0.2855497315492429,0.020299031777756348,1.0523921256063052e-05,0.0002121152597475553,1.9438891869319161,3.0442515354486317,0.03691576468798544,1.1038327296202468,1.0115801004669716
ESOL Log S,3.779623024288834,2.9955900961461546,0.4051865653763086,0.07825067693826812,0.7660688995601297,0.8552169678811018,0.03107264430497265,0.6346090786914796,0.3948871825628533,0.06134856807793492,0.3175482843478527,1.0823754650133246,0.8499921715369613,0.13867618061959022,0.6896033643761716,0.3200787688853375,0.09855823364480999
ESOL Solubility (mg/ml),0.16626479880428902,2.7048151008027213,12.894788962688366,6.8122682925242835,0.0796880580406491,0.0008177147613261141,0.09393108776550486,0.025514319020275497,0.48392833325399587,0.03380024038045685,0.5065316702547346,0.0025989997183197004,0.007442554667110752,0.0014070241321213674,0.017884289377045916,0.0926058065973509,0.10055535714265296
ESOL Solubility (mol/l),0.2645140469917808,2.8120677363506332,13.153335579784587,5.413999096565513,0.11286031602935967,9.771733770148761e-06,0.10266033166629068,0.0014419502621112112,0.43174079147049044,0.06150509383421057,0.6826563242586132,0.0004704703906693319,0.0004446310266628131,0.036476837346871564,5.306086979661323e-05,0.09319389205302801,0.19114722170872878
ESOL Class,3.2229533586512176,2.631208258914929,0.19475105240692223,0.3184688063324575,0.22546084108308947,0.8415901039849152,0.034681209113928205,0.39446694193994974,0.8544404931735771,0.3614467805414047,0.8111721227361343,0.9221062279830167,5.806659292199889,2.460251263296274,0.4987593173320001,0.13019345987432057,0.9481850753205949
Ali Log S,4.3512807766518184,1.795929087337322,0.6126145977388444,0.614677205644025,0.4710695613753541,0.07011312708199754,0.008477700848726465,0.12333985537829964,0.0625058036435041,0.1002376593564356,0.04113718061729922,0.03902450752414349,1.239317769941325,0.09146222278407935,0.36398319707164717,0.5029601386388137,0.14162261769954004
Ali Solubility (mg/ml),0.030140043219002495,2.022564163514836,12.33997248065376,9.720752997589535,0.02535023632936704,0.0022371865088654666,0.15362559168887746,0.18274085187116115,0.7678671726620603,0.014692822476253847,0.134114698075281,0.004183965543263614,0.16633997998403724,0.2992696931632281,0.0004163592499665418,0.08240112097876684,0.01348398026173387
Ali Solubility (mol/l),0.03614424533693202,2.0476770486715745,12.41642509987178,9.582343964803979,0.025202938696008502,0.00189534202752549,0.1508050357558924,0.16364043361660943,0.7521579580596195,0.01865023284930018,0.1467001410965487,0.0026766947999687014,0.14680526895827892,0.27126810096209586,0.0007366794100972928,0.07228930784435854,0.02121430903467367
Ali Class,3.9819672381858093,1.2884382571995223,0.06181973679703066,0.43841635080214375,0.4372964541166964,0.3002099600235594,0.23070329133598033,1.2786879405589222,0.5882708402812887,0.005075925414759989,0.0028545536739440287,0.9025827682250144,5.1678453666615844,3.075840854929852,0.08649847931480029,0.20551693770589707,0.8197009521879989
Silicos-IT LogSw,4.466356978565693,0.37750024349779526,0.012641266950697479,0.24097760590588443,0.49481014747307067,4.797323165063896,0.0001040627068368245,0.314000995325554,0.3235166739119864,0.01901349454737615,1.686371881146621,0.014639681300260112,0.6865585426678545,0.018259184240501707,0.49970055815796177,0.011036524307015436,1.2602163216780589
Silicos-IT Solubility (mg/ml),0.7738765821851203,0.9497082836596723,2.2345882192062385,12.805521288990986,3.614528795342822,1.3277708393305212,8.718596704079145,0.12686365084336057,0.8907781306318693,1.777749457649939,1.0342161376862804,0.16574040819499042,4.227666020605169,1.9975013847660725,0.7453360586422341,1.29112229332729,1.083442401217308
Silicos-IT Solubility (mol/l),0.7720580901950035,0.8630638862268836,2.230074735047089,12.63983098643578,3.5874584849550897,1.5085897427293145,9.293629120344665,0.2069697172562249,1.1217035122805374,1.568373034363456,1.8931992845354346,0.19331550419455168,4.602067920791984,1.4485946053533933,0.5578869563609723,1.0470755821241797,0.8593192233320748
Silicos-IT class,3.0007086402933685,0.3162083208233795,0.07665028446248329,2.1835692085311735,0.06127076385264552,2.5680082194396685,0.06677730803579943,4.124015889812059,1.575667209929111,0.23854717219625038,5.845548368064156,0.035030324569180295,0.469471235353672,3.2325178839395883,5.556744312455318,0.5992012619055437,30.461922503025708
GI absorption,3.842862627686882,0.3725104887034583,0.8356054798831672,0.4930726012100043,0.0548913252495439,8.014798835826644,0.3994624843946933,0.03024032357422576,0.009347010296286614,0.08365069934089168,0.7867885675044965,0.8960874354205818,0.6598596653432844,0.3006225369543035,0.24340554921097232,1.1860734088868297,0.0803934391742684
BBB permeant,0.07444568583885762,0.06460497452312305,0.10859816599277504,0.44555008034857263,2.149475669993788,0.3226373114261732,0.07878788089637667,57.27465691065914,14.23545932809456,1.1031709691484912,15.371917374144834,1.2673356395599478,0.35463504134552765,3.5761896987305577,0.27790362784146133,0.2418194627508767,1.2250996126794678
Pgp substrate,0.028112810991175734,0.14286666031517567,3.9581726527776264,0.04287443256078481,3.4064656173438483,0.04496284353428684,3.131258188123312,0.009339500200757194,15.743663162266873,43.31943203732811,16.390701288524603,6.3500966141883195,0.1144886627778145,0.7227112833806868,0.07238654898549521,0.0011213610483382372,1.761437214071444
CYP1A2 inhibitor,0.07529189167269813,3.358047248590521,3.3844957583679722,0.5021015606163014,16.53337869573378,0.5925480195033751,0.4508061057545666,1.0273926301516358,0.12273559978098211,1.2025973134292407,0.12966014513852964,1.5474518750794208,7.1084950859086105,0.23365624403198856,0.1467090438431782,31.491590907247623,11.368651589404411
CYP2C19 inhibitor,0.3563032306364543,1.1889807856694263,0.037022094752334526,0.9775289811647778,2.825316437438239,18.45310460122348,1.2407296845094578,4.044093091682586,1.4813163302434484,0.5951148025400009,5.66689564215292,47.98295669471861,0.014276548816730242,3.032252598370805,0.5965577718466406,0.5453959075782526,4.054138072189631
CYP2C9 inhibitor,0.050823815066645496,1.4497325005012032,3.8142244132846983,3.511958217918744,7.128218063186232,6.904278097646967,7.458924735202967,0.20084024665756212,5.755747075820838,2.9954686074246824,2.6333100144199895,0.4281985876407162,4.165175733172273,3.215463569736527,14.359279146468323,3.1118460452846546,0.10726311374532434
CYP2D6 inhibitor,0.43529571313856874,0.8078399137971787,2.998861600917963,5.4838769994268235,3.632211445374498,0.24322085218707892,11.535234242818774,0.7950056823961379,3.5975633165485714,0.2536467319951192,0.18649471713774668,0.9379132318564734,10.70044511858364,33.45026506562407,2.562914102749518,9.85623563509108,1.1342723922002342
CYP3A4 inhibitor,0.194020883043088,1.130073200224201,3.9603532939888644,4.85229705635869,0.5331841900146673,3.9305726096541607,12.188798556298273,0.11897972685151566,0.5480482625926945,4.378399571658538,6.883664028493494,1.6630649732841674,0.12146983818321479,0.5925667449806998,45.91752737200163,0.093153086275288,0.44739767002801645
log Kp (cm/s),0.03859302181860265,10.914255093083687,1.5963748207087542,0.20550095089342638,1.5603810517819168,0.7011174289919486,0.03283403191548108,0.1400011176136033,0.05954898078006526,0.04816793012231479,0.015125276191479168,0.07244914071489172,0.03608615989797845,0.08960099564914167,0.9770490899609476,0.09732492390992456,0.3989241267092482
Lipinski #violations,3.6922654441785383,1.669277795860872,0.05140167866785657,0.008746885366503905,1.1314687163930455,0.6250033466213543,0.8549661902696478,3.15268615871228,0.42103968630485206,1.2876140535191498,5.888298027243826,0.0035861485405068822,1.307620451648363,1.3772343563174967,0.28394162098494236,1.3160795403258456,0.41024882173892824
Ghose #violations,3.7482938213164507,0.097214322044039,0.09204495039980803,0.13202734734296986,1.08682004805939,0.1965300711584365,2.5045960518430737,6.3047398738379545,1.6855683025154937,0.1748737751625314,0.9586744271608832,2.822585510805924,0.41394123119087023,5.700201049677805,2.8145193688338583,3.8799568081206166,2.5765655492940884
Veber #violations,4.336466470204176,0.5529293649126642,0.3157008334792525,0.5065258575591739,0.1724570916363261,1.8942046803530777,0.0391920102742809,0.6400981076212804,0.05452995940538765,0.034434970961831346,0.07765564530147138,1.7148754760097282,1.2201924871358905,1.2194133430887635,0.08917356039040336,1.7670130733193092,1.4481217348895956
Egan #violations,3.711089077625279,0.3622286091931992,0.7609614685159187,0.40908434756349354,0.036338196748782275,8.143368194956714,0.015442810817063135,0.24535358098540716,0.02172138053439188,0.014932196508655658,1.3970482708807612,1.4841764594312234,4.079635740207709,0.10779379704162712,0.49687722548893115,0.019276820593205346,0.18380569092858015
Muegge #violations,4.109270482467307,1.537766968816974,0.04629193859702119,0.07694394032992824,0.950093595950172,0.7362284036695794,0.04573246006497919,2.085855458667607,0.03765380088173964,1.3472576971890167,0.8726847208685573,0.0868943896316835,0.018386724652609834,0.4824307973600125,1.9781906748935139,0.14465618748709977,0.219728198082705
Bioavailability Score,2.1028821743181068,3.112702270127898,0.1688806313343692,0.010983693293254685,0.4571871956121321,0.21676541993688503,0.29199968761545125,1.2568552194781453,0.25087934520465893,3.5963222219269753,12.663177930799296,3.428592143297819,13.510842993397745,0.6868075505548634,1.5182026255243581,0.022469950072674667,13.02911629568578
PAINS #alerts,0.1607550260584984,0.049953544504473715,0.00912126237185156,0.22348233943639012,0.2484638122255179,0.0011297661052345781,28.86981417914362,8.748331781781705,26.02017450119078,26.20027307924809,0.20808926276562995,0.3480512740013054,2.4445308924932005,0.40051148009803045,0.01028023517382685,0.9229940469338057,0.10313230798464826
Brenk #alerts,2.5308274679757887,0.00034892927097915567,1.9402393676993839,1.9760894674272496,0.013697017031740505,9.195305405103122,0.7407014800558533,0.16288765029670146,2.8421279380980815,0.0463889539261665,0.10582924936483995,5.374493644664224,6.4772934182276085,0.0897166011719772,2.480188905402369,6.924655201625193,0.6168839968144829
Leadlikeness #violations,3.4802432874882867,0.7297702091112955,1.0815817905220886,0.5335305801997304,0.048221986736123094,4.7589773266962245,0.11724671484736778,0.0058010065347069,0.05164059201374626,0.019742500266280612,1.6315064622365518,1.0522271133130585,0.9433636521076424,0.44646211421838533,5.337704073588124,5.924526400832486,1.0963427309489544
Synthetic Accessibility,3.874515590742575,1.6909630935098987,0.9915689568242075,0.38058604727020334,1.7125399119912639,2.516805191491466,0.01529162965726929,0.1306625245929608,0.31768147246966216,0.35073816992833823,0.020930803180554975,0.030172765870561183,0.7673908512399222,0.07975379179871073,0.18111203950250415,0.060870489657981315,1.2790239867300548
