MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
1129.64,73,18,0.43,21,16,1,266.62,213.56,6.79,10.28,9.53,3.33,9.27,7.84,-12.12,8.64E-10,7.65E-13,0,-14.7,2.24E-12,1.98E-15,0,-12.78,1.86E-10,1.65E-13,0,0,0,1,0,0,0,0,0,-5.89,2,4,2,2,5,0.17,0,4,3,9.1
906.03,65,12,0.65,16,16,3,235.2,210.74,5.42,2.78,3.49,0.89,3.87,3.29,-6.29,0.000465,5.14E-07,1,-6.86,0.000125,1.38E-07,1,-7.5,2.88E-05,3.18E-08,1,0,0,1,0,0,0,0,1,-9.85,2,3,2,1,5,0.17,0,2,2,8.96
726.81,53,16,0.48,10,11,3,193.05,165.89,4.48,4.34,4.42,2.55,5.36,4.23,-6.64,0.000165,2.27E-07,1,-7.54,2.10E-05,2.89E-08,1,-8.8,1.15E-06,1.58E-09,1,0,0,1,0,0,0,0,1,-7.65,2,3,1,1,3,0.17,0,2,3,7.8
825.9,60,18,0.46,14,13,4,214.17,204.22,4,3.77,3.63,1.54,4.61,3.51,-6.63,0.000192,2.32E-07,1,-7.75,1.46E-05,1.77E-08,1,-8.9,1.04E-06,1.26E-09,1,0,0,1,0,0,0,0,1,-8.66,2,3,2,1,3,0.17,0,2,3,8.23
980.15,67,6,0.66,22,17,4,247.04,299.58,6.61,3.95,4.82,0.94,5.31,4.33,-7.02,9.37E-05,9.56E-08,1,-9.94,1.12E-07,1.14E-10,1,-6.65,0.000218,2.23E-07,1,0,0,1,0,0,0,0,0,-9.47,2,3,2,1,4,0.17,0,3,3,9.56
1156.36,79,6,0.71,34,21,4,289.83,336.5,7.88,3.36,4.89,-0.67,7,4.49,-6.94,0.000133,1.15E-07,1,-10.1,9.09E-08,7.86E-11,0,-8.52,3.46E-06,2.99E-09,1,0,0,1,0,0,0,0,0,-10.97,2,3,2,1,4,0.17,0,3,2,10
908.04,65,12,0.67,16,16,4,235.95,213.9,4.15,1.6,2.67,-0.12,3.43,2.35,-5.56,0.00251,2.76E-06,2,-5.7,0.0018,1.98E-06,2,-7.14,6.50E-05,7.16E-08,1,0,0,1,0,0,0,0,1,-10.7,2,3,2,1,5,0.17,0,2,2,9.12
876.04,63,12,0.67,17,14,4,229.69,193.23,6.08,3.39,4.89,1.34,4.86,4.11,-6.43,0.000328,3.75E-07,1,-7.13,6.54E-05,7.47E-08,1,-8.75,1.56E-06,1.78E-09,1,0,0,1,0,0,0,0,1,-9.24,2,3,2,1,5,0.17,0,2,2,8.96
896.01,63,11,0.61,17,15,4,225.14,258.76,4.55,4.46,4.35,1.59,5.3,4.05,-7.21,5.50E-05,6.13E-08,1,-9.61,2.18E-07,2.44E-10,1,-6.82,0.000136,1.52E-07,1,0,0,1,0,0,0,0,0,-8.6,2,3,2,1,4,0.17,0,2,3,8.99
862.02,62,12,0.66,17,14,4,224.88,193.23,5.43,3.04,4.44,1.18,4.63,3.74,-6.12,0.000653,7.57E-07,1,-6.76,0.000149,1.72E-07,1,-8.49,2.76E-06,3.20E-09,1,0,0,1,0,0,0,0,1,-9.4,2,3,2,1,5,0.17,0,2,2,8.82
971.99,70,18,0.47,21,18,5,242.11,277.05,4.49,3.33,2.93,0.58,4.2,3.1,-6.77,0.000166,1.70E-07,1,-8.82,1.46E-06,1.50E-09,1,-8.31,4.75E-06,4.89E-09,1,0,0,1,0,0,0,0,0,-9.86,2,3,2,1,4,0.17,0,2,2,9.13
839.92,61,18,0.47,15,13,4,218.54,204.22,4.72,3.45,3.62,1.43,5.03,3.65,-6.45,0.000298,3.55E-07,1,-7.42,3.19E-05,3.80E-08,1,-9.28,4.39E-07,5.22E-10,1,0,0,1,0,0,0,0,0,-8.97,2,3,2,1,3,0.17,0,2,2,8.38
911.94,66,18,0.47,13,16,3,228.9,228.75,4.67,4.06,3.87,1.37,3.96,3.59,-7.4,3.67E-05,4.02E-08,1,-8.57,2.47E-06,2.70E-09,1,-8.71,1.77E-06,1.94E-09,1,0,0,1,0,0,0,0,0,-8.98,2,3,2,1,4,0.17,0,2,3,8.96
1156.36,79,6,0.71,34,21,4,289.83,336.5,7.66,3.36,4.89,-0.67,7.00E+00,4.45,-6.94,0.000133,1.15E-07,1,-10.1,9.09E-08,7.86E-11,0,-8.52,3.46E-06,2.99E-09,1,0,0,1,0,0,0,0,0,-10.97,2,3,2,1,4,0.17,0,3,2,10
940.04,68,18,0.52,13,15,3,242.48,211.68,5.43,4.75,4.73,1.82,5.16,4.38,-8,9.43E-06,1.00E-08,1,-8.93,1.12E-06,1.19E-09,1,-9.82,1.43E-07,1.52E-10,1,0,0,1,0,0,0,0,1,-8.66,2,3,2,1,4,0.17,0,2,3,9.43
779.87,56,12,0.57,13,13,5,200.47,207.38,4.52,2.93,3.16,0.89,3.53,3.01,-5.82,0.00118,1.51E-06,2,-6.95,8.82E-05,1.13E-07,1,-6.76,0.000136,1.75E-07,1,0,0,1,0,0,0,0,1,-8.98,2,3,2,1,3,0.17,0,2,2,8.28
1077.6,69,16,0.5,20,15,1,253.94,196.49,6.75,10,9.48,3.78,8.91,7.78,-11.67,2.29E-09,2.12E-12,0,-14.05,9.51E-12,8.82E-15,0,-12.81,1.67E-10,1.55E-13,0,0,0,1,0,0,0,0,0,-5.77,2,4,2,2,5,0.17,0,3,3,8.82
920.09,63,6,0.64,20,15,4,234.05,281.12,4.84,4.01,4.81,1.54,5.07,4.05,-6.82,0.000139,1.51E-07,1,-9.62,2.23E-07,2.42E-10,1,-6.5,0.00029,3.15E-07,1,0,0,1,0,0,0,0,0,-9.07,2,3,2,1,4,0.17,0,3,3,9.25
893.97,64,12,0.6,14,16,3,224.35,220.91,5.13,3.29,3.8,1.06,3.75,3.41,-6.67,0.000191,2.14E-07,1,-7.6,2.22E-05,2.49E-08,1,-7.29,4.60E-05,5.14E-08,1,0,0,1,0,0,0,0,1,-9.42,2,3,2,1,3,0.17,0,2,2,9.27
898.07,63,11,0.7,16,15,3,232.66,221.91,5.47,2.68,3.76,0.32,4.92,3.43,-6.17,0.000608,6.77E-07,1,-6.99,9.14E-05,1.02E-07,1,-7.24,5.20E-05,5.79E-08,1,0,0,1,0,0,0,0,1,-9.88,2,3,2,1,5,0.17,0,2,2,9.16
853.91,62,18,0.45,15,14,4,218.96,221.29,4.26,3.66,3.41,1.7,4.59,3.52,-6.66,0.000185,2.16E-07,1,-8,8.61E-06,1.01E-08,1,-8.8,1.34E-06,1.57E-09,1,0,0,1,0,0,0,0,0,-8.91,2,3,2,1,3,0.17,0,2,3,8.34
868.04,61,11,0.69,17,14,4,222.76,221.47,5.62,3.14,4.5,0.89,5.24,3.88,-6.21,0.000533,6.14E-07,1,-7.46,3.01E-05,3.46E-08,1,-7.75,1.53E-05,1.76E-08,1,0,0,1,0,0,0,0,1,-9.37,2,3,2,1,5,0.17,0,2,2,8.98
924.04,67,18,0.55,15,15,3,244.02,201.51,4.98,3.24,3.79,1.33,4.65,3.6,-6.82,0.00014,1.52E-07,1,-7.15,6.62E-05,7.16E-08,1,-9.42,3.51E-07,3.80E-10,1,0,0,1,0,0,0,0,1,-9.64,2,3,2,1,4,0.17,0,2,2,8.86
853.91,62,18,0.45,15,14,4,218.92,221.29,4.1,3.39,3.27,1.7,4.2,3.33,-6.49,0.000273,3.20E-07,1,-7.72,1.64E-05,1.92E-08,1,-8.35,3.79E-06,4.44E-09,1,0,0,1,0,0,0,0,0,-9.1,2,3,2,1,3,0.17,0,2,2,8.37
1004.21,69,6,0.67,21,16,4,265.18,287.6,5.34,3.9,3.86,1.13,4.08,3.66,-7.2,6.31E-05,6.29E-08,1,-9.64,2.31E-07,2.30E-10,1,-6.13,0.000738,7.35E-07,1,0,0,1,0,0,0,0,1,-9.66,2,3,2,1,4,0.17,0,3,3,9.87
898.07,63,11,0.7,16,15,3,232.66,221.91,6.04,2.68,3.76,0.32,4.92,3.54,-6.17,0.000608,6.77E-07,1,-6.99,9.14E-05,1.02E-07,1,-7.24,5.20E-05,5.79E-08,1,0,0,1,0,0,0,0,1,-9.88,2,3,2,1,5,0.17,0,2,2,9.05
835.93,60,12,0.58,16,14,3,214.71,202.45,5.54,3.88,4.24,1.39,4.66,3.94,-6.56,0.000231,2.76E-07,1,-7.83,1.24E-05,1.48E-08,1,-8.02,7.96E-06,9.53E-09,1,0,0,1,0,0,0,0,1,-8.64,2,3,2,1,4,0.17,0,2,3,8.67
919.06,66,12,0.64,16,15,3,242.25,197.85,6.42,4,4.49,1.93,4.72E+00,4.31,-7.14,6.71E-05,7.30E-08,1,-7.86,1.28E-05,1.39E-08,1,-8.23,5.35E-06,5.82E-09,1,0,0,1,0,0,0,0,1,-9.07,2,3,2,1,5,0.17,0,2,3,9.19
856.03,60,11,0.68,16,14,3,220.16,212.68,5.82,3.05,4.37,0.73,4.8,3.76,-6.15,0.000608,7.10E-07,1,-7.18,5.62E-05,6.57E-08,1,-7.23,4.99E-05,5.83E-08,1,0,0,1,0,0,0,0,1,-9.36,2,3,2,1,4,0.17,0,2,2,8.96
1017.12,75,30,0.36,19,14,2,274.32,206.1,6.12,8.24,7.91,3.44,9.84,7.11,-10.38,4.25E-08,4.17E-11,0,-12.43,3.78E-10,3.72E-13,0,-15.16,7.09E-13,6.97E-16,0,0,0,1,0,0,0,0,0,-6.65,2,4,2,2,6,0.17,0,2,3,9.43
904.99,67,26,0.33,13,12,2,250.22,171.96,5.87,8.44,7.7,4.11,8.43,6.91,-10.2,5.75E-08,6.35E-11,0,-11.92,1.09E-09,1.20E-12,0,-12.34,4.17E-10,4.60E-13,0,0,0,1,0,0,0,0,0,-5.83,2,4,2,2,5,0.17,0,3,3,8.84
724.79,53,16,0.43,9,11,3,193.37,165.89,4.26,4.53,4.39,2.49,5.18,4.17,-6.82,0.00011,1.52E-07,1,-7.74,1.33E-05,1.84E-08,1,-8.08,5.97E-06,8.24E-09,1,0,0,1,0,0,0,0,0,-7.5,2,3,1,1,3,0.17,0,3,3,7.87
922.07,66,12,0.67,17,16,3,241.28,202.9,5.76,2.55,3.71,0.3,4.42,3.35,-6.18,0.000615,6.67E-07,1,-6.46,0.000321,3.48E-07,1,-8.05,8.14E-06,8.83E-09,1,0,0,1,0,0,0,0,1,-10.11,2,3,2,1,5,0.17,0,2,2,9.2
871.92,62,6,0.66,17,17,3,214.02,245.82,4.34,3.73,3.66,1.14,3.74,3.32,-6.55,0.000248,2.85E-07,1,-8.58,2.27E-06,2.61E-09,1,-5.9,0.00109,1.25E-06,2,0,0,1,0,0,0,0,0,-8.97,2,3,2,1,4,0.17,0,2,3,9.21
856.03,60,11,0.68,16,14,3,220.16,212.68,5.58,3.05,4.37,0.73,4.8,3.71,-6.15,0.000608,7.10E-07,1,-7.18,5.62E-05,6.57E-08,1,-7.23,4.99E-05,5.83E-08,1,0,0,1,0,0,0,0,1,-9.36,2,3,2,1,4,0.17,0,2,2,8.85
829.03,59,6,0.76,16,13,3,218.97,171.55,5.84,4.25,4.91,1.82,4.7,4.3,-6.68,0.000175,2.11E-07,1,-7.56,2.26E-05,2.73E-08,1,-7.08,6.98E-05,8.41E-08,1,0,0,1,0,0,0,0,1,-8.34,2,3,2,1,4,0.17,0,2,3,9.12
1420.67,97,6,0.76,52,27,4,354.03,391.88,10.91,2.47,4.99,-3.14,9.57,4.96,-6.82,0.000216,1.52E-07,1,-10.34,6.44E-08,4.53E-11,0,-11.29,7.22E-09,5.08E-12,0,0,0,1,0,0,0,0,0,-13.21,2,3,2,1,4,0.17,0,3,2,10
980.15,67,6,0.66,22,17,4,247.04,299.58,6.04,3.95,4.82,0.94,5.31,4.21,-7.02,9.37E-05,9.56E-08,1,-9.94,1.12E-07,1.14E-10,1,-6.65,0.000218,2.23E-07,1,0,0,1,0,0,0,0,0,-9.47,2,3,2,1,4,0.17,0,3,3,9.55
861.93,61,12,0.56,14,17,8,214.4,252.14,3.67,1.39,2.74,-1.13,3.51,2.04,-5.28,0.00451,5.23E-06,2,-6.29,0.000444,5.15E-07,1,-6.66,0.000188,2.18E-07,1,0,0,1,0,0,0,0,0,-10.57,3,3,2,1,4,0.17,0,2,2,8.79
862.91,63,18,0.41,15,14,1,225.21,195.1,5.41,5.77,5.61,2.77,6.8,5.27,-8.05,7.75E-06,8.98E-09,1,-9.64,2.00E-07,2.31E-10,1,-9.96,9.57E-08,1.11E-10,1,0,0,1,0,0,0,0,0,-7.47,2,4,2,1,4,0.17,0,3,3,8.56
905.04,65,12,0.63,16,15,3,237.41,197.85,5.78,3.81,4.1,1.77,4.45,3.98,-6.93,0.000106,1.17E-07,1,-7.66,1.98E-05,2.19E-08,1,-7.87,1.22E-05,1.34E-08,1,0,0,1,0,0,0,0,1,-9.12,2,3,2,1,5,0.17,0,2,3,9.06
1064.27,73,6,0.69,23,18,4,278.16,306.06,7.26,3.84,3.88,0.54,4.31E+00,3.97,-7.4,4.23E-05,3.98E-08,1,-9.96,1.16E-07,1.09E-10,1,-6.28,0.000559,5.25E-07,1,0,0,1,0,0,0,0,0,-10.07,2,3,2,1,4,0.17,0,3,3,10
