,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
MW,0.14240610616673263,0.284399949628323,0.049364370838488346,0.026584183563239397,0.016932347251083314,0.010477083965362342,0.03139229600006581,-0.026034774287611515,-0.06337477696163099,-0.011828676047674746,0.033834316274628316
#Heavy atoms,0.13561026518097619,0.2825034444752217,0.022872774614690304,0.05804883234496375,0.04609683654844571,0.018111602842845322,0.036343812762154724,0.03811565815150195,-0.18582145916572773,-0.14382955624673802,-0.0012692728524098277
#Aromatic heavy atoms,0.13784969147026116,-0.18478293948098934,-0.0563727158746791,0.21033336785602863,0.21946096683210148,-0.0329623790829281,-0.02168631785102551,0.16320248806994325,-0.3562856396257742,-0.2667362704182478,0.07705866357397599
Fraction Csp3,-0.12718012751224267,0.22117140881559474,-0.054190639749618796,0.010192327965023618,-0.33687007810346037,-0.04644286568752977,-0.06476365077744542,-0.08688024843458363,0.30950048655367773,0.08603627095931254,-0.05147989422481236
#Rotatable bonds,0.0692209812089889,0.31502350511915495,0.06039741920907449,-0.048027579194878545,0.04841070137887833,0.1936018229953434,-0.059689143312325305,-0.015574936312859639,-0.015029357052856906,0.045585218041999616,0.02774385778857895
#H-bond acceptors,0.01551167952381424,0.3278146092676809,0.07121586902726235,-0.02415095057062422,0.07261601867817008,0.06888436568910325,0.044581573277024666,0.04352538535375869,-0.0759342111707336,-0.032342419596251434,-0.14173814992970873
#H-bond do0rs,-0.13690345357790643,0.1298541375102429,-0.08718742287361028,0.0680289275241488,0.37109799183238273,-0.311940351618349,-0.013884161749602109,-0.09124876672825233,0.08241626478828995,-0.026871789157563976,0.3970887905710499
MR,0.14227313303813763,0.2799791056190739,0.015149816412230052,0.05539902448641215,-0.0071489535423193695,0.0035766403687296777,0.04039759636166701,-0.022293753835524434,-0.1073482073244223,-0.1417111583726911,0.049649986844677224
TPSA,0.003169894595730404,0.3045838226632455,0.057051553631819546,-0.17758732536375776,0.18476264393548125,-0.04303192053712962,0.069407013278316,-0.03900872810246635,-0.10791732730615491,0.03037486495220025,0.10181664123478601
iLOGP,0.13130412090867158,0.2555722197492947,-0.0664675028668469,0.029293117757438567,-0.14493406751713556,0.16441718334400524,-0.09827090396418398,-0.04029130788760142,0.1613571503781761,-0.027592456246548908,-0.09758959113550299
XLOGP3,0.24243442408917623,-0.10199881123497748,0.06490943041420726,-0.03644615697269285,-0.02818887118201016,-0.07417450822090599,0.05044913296214765,-0.05203173360436511,0.04925533795502629,0.07436946761242463,0.08905957257470276
WLOGP,0.24608477422155617,-0.031970601538668215,0.059344314592814494,0.04053679515626919,-0.09541350539668506,0.003234337800500642,-0.014910386807102938,-0.04724652504434379,0.2106542105945162,0.10658078826600303,0.018555656572119578
MLOGP,0.15026773749727812,-0.26677423626968344,0.025436387763210066,-0.06529766282474779,-0.11968091096476385,-0.06524160283480296,0.05382415799095258,0.0015609484551283928,-0.03287174924296682,0.004235973148959293,0.03602911610899823
Silicos-IT Log P,0.2377517120450189,0.0431255041587821,0.08584832199363508,0.036336605297040955,0.047798210557127026,0.18757562987621212,-0.07737634198339771,0.0030558689226082847,0.0602771680055541,-0.017576182458374057,-0.0855527908487502
Consensus Log P,0.25458743914734255,-0.03210711530687812,0.04982777319253304,0.0010334397851636892,-0.07206374336652192,0.045296865247784285,-0.016648267753852197,-0.03493132308289726,0.10831080308706004,0.04066884006901075,-0.0017864151796348482
ESOL Log S,-0.2506814977930054,0.0416276940879154,-0.05701738184988365,-0.003296397329652538,0.018463308105807322,0.1067912197823492,-0.07125076336040448,0.04583916422925566,-0.001927716831119336,-0.03287137412520358,-0.08483856096807818
ESOL Solubility (mg/ml),-0.13152769323840943,-0.02584899885354789,0.38062320105028236,0.151896795555563,0.08592071198844145,0.03471127973799682,-0.11658870179069254,0.0770758290593636,0.12464564208281867,0.005882491848470062,-0.04475553145643185
ESOL Solubility (mol/l),-0.12808134263411716,-0.032900902269092855,0.38703903074146756,0.13055451979681,0.07242554811647203,0.048581350880495595,-0.1383819765230393,0.08934658356298522,0.11069553861396261,0.006273033093330119,-0.03757373240136713
ESOL Class,-0.22985774965759248,0.0199593796694893,0.0775538697663284,0.05378809721693819,0.13679930159898784,0.08671996667145832,0.07535596329959558,-0.04264325231167127,0.03395461016016209,0.16555718704106692,0.23779104849358879
Ali Log S,-0.2411310417060687,-0.04055430971546851,-0.09052682130833772,0.11849461455558648,-0.05818146871742898,0.09351923081165711,-0.08197028265919594,0.06965571882349716,0.0016789188980509268,-0.08724591429531431,-0.13527328347305803
Ali Solubility (mg/ml),-0.10851809996999412,0.00560076597087538,0.19506532313554645,0.3798226986535074,-0.06471658494538077,0.07306013806666979,0.3242861421148228,-0.30752871294376544,-0.14300939690424924,0.07662338667441719,-0.0026842613920769654
Ali Solubility (mol/l),-0.1120413988262048,0.0019071422005924141,0.21325011327646717,0.37268218788475455,-0.06328988549402415,0.08145027239714278,0.3005103080120888,-0.2928458212986105,-0.13607190348020226,0.07779094256752828,0.0010941226615388314
Ali Class,-0.21693147728272602,-0.09048093840863904,-0.0829377212741932,0.010332620612294298,-0.1046198587080304,-0.05678370716769912,0.28099748717315365,-0.1151892256100054,-0.12177241011125074,0.010202224375864462,-0.12462670671020738
Silicos-IT LogSw,-0.22945274793250867,0.04004956839608639,-0.006021588856778369,-0.19058973328090445,-0.10113957815680041,-0.10687022409377492,0.07266717940770816,-0.08316687467605471,0.1445652696452592,0.14337155733601423,0.0017460684723265148
Silicos-IT Solubility (mg/ml),-0.07678132139118765,0.031298827897868656,0.34062141036928284,-0.27873383870234125,-0.14530569713597966,-0.24624128990617747,0.016495016688654714,-0.032995828423167894,-0.07619118403082832,-0.17606663431145078,0.22534878474196857
Silicos-IT Solubility (mol/l),-0.08104267566553618,0.018618624580155153,0.36271722038143034,-0.25869246921579303,-0.14317314225058178,-0.20396430306436072,-0.022816485538994163,-0.0013677396939807426,-0.07949866506960823,-0.17144612586384805,0.19356677469270714
Silicos-IT class,-0.22265862379844265,-0.031196858462076992,0.053645248206856865,-0.20903950514303,-0.11458622406117247,-0.020094645748974713,0.04082298827571353,0.07065054688438911,-0.07915073874740557,-0.11232293688930943,-0.12532182143561368
CYP2C9 inhibitor,0.018413337469960628,-0.06066891154362224,-0.001942483397425471,-0.08181880382578709,-0.0015274768521062307,0.36793059948713697,0.5922127863180748,0.41193193770619585,0.31206755207770726,-0.31196738248135747,0.29143361090342457
CYP2D6 inhibitor,-0.0651642684325443,-0.041323463197177446,0.4007260531459535,-0.05134959141878975,-0.11048048405632938,0.18917553901852593,-0.23848066895391012,0.1540845245997496,-0.09555585013959782,-0.09839865796750263,-0.11766466062031183
CYP3A4 inhibitor,-0.11544488584219563,-0.012531551189366575,-0.18616534494738352,0.23174688403230032,-0.3573490324973203,-0.06403830811358413,-0.18595988485341303,-0.03622634766249354,0.18265090571527937,-0.05759261248295291,0.3788982071499042
