Column Title,Mean,Standard Deviation
MW,903.4309374999999,113.59564325871442
#Heavy atoms,64.03125,6.845155279002134
#Aromatic heavy atoms,12.890625,5.167410660718571
Fraction Csp3,0.584375,0.11121086791702124
#Rotatable bonds,17.109375,6.06869978360209
#H-bond acceptors,15.046875,2.393308711240902
#H-bond do0rs,3.1875,1.206792942616589
MR,231.92890625,26.883132323942963
TPSA,219.83828125,44.05037320544164
iLOGP,5.43359375,1.1727005425512518
XLOGP3,3.9834375,1.8964898392339096
WLOGP,4.5315625,1.4976226862322366
MLOGP,1.3546874999999998,1.200851508404805
Silicos-IT Log P,5.2250000000000005,1.572636044030572
Consensus Log P,4.105625,1.2063981219197204
ESOL Log S,-6.97234375,1.4690000293769647
ESOL Solubility (mg/ml),0.0005467739700625,0.001156000364676544
ESOL Solubility (mol/l),6.52047515859375e-07,1.458396336330358e-06
ESOL Class,1.015625,0.45398368965877006
Ali Log S,-8.30078125,1.9908140671096302
Ali Solubility (mg/ml),9.93056301215625e-05,0.0002521965632831977
Ali Solubility (mol/l),1.1464896494374999e-07,2.8439320403434364e-07
Ali Class,0.875,0.3779644730092272
Silicos-IT LogSw,-8.353281250000002,1.8831213995271634
Silicos-IT Solubility (mg/ml),9.081089956107814e-05,0.00022735924365402816
Silicos-IT Solubility (mol/l),1.0297465129057813e-07,2.6737895389844485e-07
Silicos-IT class,0.921875,0.36967113226724374
CYP2C9 inhibitor,0.015625,0.125
CYP2D6 inhibitor,0.015625,0.125
CYP3A4 inhibitor,0.53125,0.5029673851018478
log Kp (cm/s),-8.9828125,1.324656851342839
Lipinski #violations,2.015625,0.125
Ghose #violations,3.109375,0.3145764348029479
Veber #violations,1.96875,0.17536809360305042
Egan #violations,1.09375,0.29378482569650155
Muegge #violations,4.140625,0.773923984208613
Bioavailability Score,0.16999999999999998,2.797499069501051e-17
Brenk #alerts,2.359375,0.5453173679115967
Leadlikeness #violations,2.484375,0.503706499953334
Synthetic Accessibility,8.913125,0.532060609389092
