Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
0,15,11,1,-0.589,7,0,3,40,13,5,2,4,4,4,594.145,234.535,1,182.48
0,15,12,0,-0.728,9,1,2,30,12,3,2,2,2,3,471.045,183.287,1,163.33
0,12,6,1,0.094,5,0,4,32,11,4,4,3,3,3,461.137,187.417,1,148.15
0,13,10,0,-1.28,7,1,3,32,11,4,2,3,3,4,480.125,192.408,1,150.04
1,8,5,0,0.349,4,0,4,24,7,3,3,3,2,2,349.11,143.179,0,112.73
0,9,6,1,0.949,5,0,2,26,8,3,2,2,2,2,380.104,154.373,1,105.17
0,10,7,0,-0.798,5,0,2,23,9,2,2,2,2,2,339.053,134.797,0,136.8
0,8,5,1,0.318,4,0,4,24,7,3,3,2,2,2,349.11,143.121,1,112.73
0,14,10,0,-0.545,8,1,5,30,12,3,4,2,2,3,453.041,176.615,1,184.51
0,7,4,0,-0.795,1,0,1,15,6,2,1,2,2,2,233.036,86.785,0,91.75
0,8,5,1,0.697,5,0,2,24,7,3,2,2,2,2,350.094,142.894,1,95.94
0,11,8,2,2.628,10,0,4,40,10,4,3,2,2,2,570.251,238.773,2,142.27
0,9,7,1,0.84,6,0,1,28,8,3,1,2,2,2,406.12,166.47,1,102.01
0,10,5,1,2.313,5,0,2,27,7,3,2,2,2,2,432.031,169.866,1,95.94
0,20,14,1,-0.182,13,1,7,50,17,5,6,3,3,4,751.15,297.848,2,256.9
1,9,6,2,2.496,6,0,2,35,8,5,2,3,2,2,494.151,206.567,2,113.01
0,9,6,1,1.895,4,1,2,28,8,4,2,2,2,3,401.105,164.803,2,112.74
0,21,14,0,-0.115,11,3,4,43,16,5,4,2,2,5,684.01,259.189,3,223.24
0,12,9,0,-0.556,5,1,4,25,10,3,3,2,2,3,383.036,149.254,1,147.21
0,15,10,0,-1.172,7,1,5,28,13,2,4,1,1,2,435.052,162.59,1,201.58
0,12,9,0,-0.172,5,1,5,26,10,3,4,2,2,3,395.036,154.61,1,158.21
0,14,11,0,-0.622,7,1,4,30,12,3,3,2,2,3,455.057,177.624,1,173.51
0,18,12,0,-2.876,9,1,7,30,16,2,5,1,1,2,466.021,170.84,1,253.9
0,10,6,0,0.548,5,1,3,25,8,3,3,2,2,3,384.045,150.742,1,124.01
0,12,9,0,-0.166,5,1,4,26,10,3,3,2,2,3,397.051,155.619,1,147.21
0,7,4,1,0.861,4,0,2,23,6,3,2,2,2,2,334.099,137.781,1,86.71
1,8,5,0,0.222,4,0,4,24,7,3,3,3,2,2,351.125,143.868,0,112.73
0,10,5,1,1.67,5,0,2,26,9,3,2,2,2,2,375.1,152.914,1,135.47
0,18,15,0,-1.199,8,2,5,36,15,4,4,2,2,4,554.046,213.957,2,215.22
0,17,13,1,0.327,9,2,5,42,15,5,5,2,2,4,612.121,245.926,3,212.76
0,13,9,1,0.041,7,1,6,31,11,4,5,2,2,3,462.078,183.991,2,174.53
0,9,6,0,-0.318,6,2,1,28,7,4,1,2,2,4,415.066,169.218,2,93.42
0,21,16,0,-0.538,8,2,5,47,19,6,4,4,4,6,690.116,271.383,2,264.3
0,9,5,1,0.486,5,0,3,26,8,3,3,2,2,2,378.089,153.101,1,124.01
0,8,5,1,1.086,5,0,2,25,7,3,2,2,2,2,364.109,149.259,1,95.94
0,17,12,0,-1.291,11,1,3,32,13,3,3,2,2,3,496.065,187.01,1,169
0,7,4,0,1.406,3,0,1,22,6,3,1,3,3,3,325.146,134.486,0,73.21
0,12,8,0,-0.048,6,1,5,27,10,3,4,2,2,3,410.035,160.287,1,162.92
0,11,7,1,0.941,7,0,5,33,10,4,5,3,3,3,475.141,193.575,1,156.27
0,11,6,1,0.247,5,0,3,27,9,3,3,2,2,2,414.056,159.409,1,141.08
