,PC1,PC2,PC3,PC4,PC5,PC6
Num Aliphatic Carbocycles,0.14160022868239938,0.7166454228919446,2.0656619358835044,1.0889569217824568,83.153029993742,1.9102312608362402
Num Heteroatoms,9.57196815688588,0.7733323036698997,0.06892187559652033,0.22660172565062087,0.22242692057092422,1.9537940524871886
Num Hydrogen Bond Acceptor,8.935357987516717,0.6293786692540305,0.1280655543008452,1.980878488094805,0.03709925507509546,2.933777544842763
Num Aromatic Carbocycles,0.4709987578641905,5.33365721092467,18.230271833418907,17.93294520673913,0.9136807625424447,0.1603558898988305
LogP,2.1766430412277726,9.918050925203353,10.975458454883553,0.9215194172519706,0.002380992133857297,0.5550883094711127
Num Rotatable Bonds,7.764861740051643,1.0631339058236662,0.32016859468903763,0.588324763122581,0.015922029354805987,18.6016146873931
Num Aromatic Heterocycles,4.993017433180043,1.0637855852006552,1.5919911251471786,20.536804299279638,2.6297633938222456,5.538595037062696
Num Lipinski HB Donor,2.8165747400046257,9.630717999812227,0.5516426720913393,16.1496846671229,0.6930189361933113,13.881484819635542
Num Atoms,8.470734455299313,3.128238272145925,0.8681684962512087,2.0824342694115248,0.002351128024394756,2.6355378610758877
Num Lipinski HB Acceptor,9.437025660592745,0.8134507031920244,0.2675744063867644,0.03079798255510771,0.3375547787823514,1.61990120217104
Num Rings,4.773983383896775,13.686828457149119,1.6201060753449545,0.12667180046751217,2.070445178579656,9.954257592512043
Num Hydrogen bond Donor,3.097983701903763,7.8282151722007285,0.27535930587053875,18.4081538336575,0.03431486049923495,14.037210530454455
Num Aliphatic Rings,0.511580828292957,17.392947205614302,18.829853940098985,1.6730614465873126,0.6183755283181479,0.6156754179995959
Num Aliphatic Heterocycles,0.8095518638773548,16.17711337010009,15.688754139189786,0.8705117531345495,8.114978165696861,1.8969677756051264
Num Heterocycles,6.340773379440193,2.5003365604625354,1.7987984755802902,11.57229699111862,0.113934461375646,8.513283341912345
Mol Wt,9.0379368478228,1.9752477567968465,0.6095627366072831,0.8690385820286515,0.005668163138284913,3.3377994588822375
Labute ASA,8.360608416760732,3.5321206674365175,0.936895655421941,1.5813098709646773,0.004544804728943725,3.1668401282933702
Num Aromatic Rings,3.60705391382756,0.6390914483938361,24.89660294129937,2.133380767403095,0.9865835341923648,8.673515220491238
Topological Polar SA,8.681745462872554,3.197708363727615,0.2761417819379869,1.226627213627341,0.043927113229439554,0.014069868975183296
