Factor,Eigenvalue
Num Aliphatic Carbocycles,9.688493078853366
Num Heteroatoms,2.970086975698824
Num Hydrogen Bond Acceptor,2.0779809042590487
Num Aromatic Carbocycles,1.8455261781610153
LogP,1.0682548657557918
Num Rotatable Bonds,0.5819561500604036
Num Aromatic Heterocycles,0.41712077772035017
Num Lipinski HB Donor,0.15998174732318188
Num Atoms,0.08372275994956659
Num Lipinski HB Acceptor,0.056517518940129526
Num Rings,0.024670190970399457
Num Hydrogen bond Donor,0.018104952577946712
Num Aliphatic Rings,0.006679630886272989
Num Aliphatic Heterocycles,0.0005683802407262607
Num Heterocycles,0.0003358886029765176
Mol Wt,1.672981448038244e-15
Labute ASA,1.1172501005020604e-15
Num Aromatic Rings,5.837751610914259e-16
Topological Polar SA,-4.66547943630794e-16
