Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
0,13,9,2,2.864,5,2,1,44,10,7,1,3,3,5,622.17,250.716,4,122.04
0,14,11,2,2.494,6,2,1,45,13,7,1,3,3,5,631.174,257.038,4,165.18
0,8,7,2,4.454,4,2,2,35,7,6,2,2,2,4,531.079,209.068,4,93.45
0,9,8,1,0.322,3,2,3,31,8,5,3,2,2,4,420.149,177.439,3,121.88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,8,8,1,3.403,4,2,1,35,8,6,1,3,3,5,476.195,202.004,3,99.88
0,11,10,2,4.546,7,2,2,49,11,7,2,3,3,5,662.274,282.67,4,140.06
0,10,9,1,4.091,4,2,1,43,10,7,1,4,4,6,586.279,249.756,3,114.2
0,9,8,1,2.269,3,2,2,32,8,5,2,2,2,4,457.14,190.03,3,104.89
0,8,8,1,1.161,5,2,3,31,8,5,3,2,2,4,421.164,177.667,3,113.68
0,7,6,1,3.96,4,2,1,32,6,5,1,2,2,4,448.182,187.434,3,81.42
0,7,7,1,1.537,1,2,3,27,7,5,2,2,2,4,363.122,153.568,3,107.44
0,8,8,1,1.847,3,2,2,31,8,5,2,2,2,4,421.164,177.877,3,104.89
0,8,7,1,4.663,3,2,1,37,7,6,1,3,3,5,521.208,220.57,3,84.66
0,20,15,2,3.375,13,3,6,65,18,8,6,3,3,6,931.298,384.337,5,237.48
0,7,7,2,3.692,4,2,2,34,7,6,2,2,2,4,453.169,195.2,4,93.45
0,7,7,1,4.275,9,2,1,35,7,5,1,2,2,4,478.247,205.213,3,82.81
0,12,10,1,4.255,2,2,2,42,12,5,2,2,2,4,578.238,241.708,3,149.29
0,7,7,1,2.579,5,2,2,31,7,5,2,2,2,4,419.185,179.238,3,93.45
0,18,15,2,5.145,19,2,5,58,15,6,5,2,2,4,894.172,349.732,4,214.03
0,7,6,1,2.865,4,2,1,29,6,5,1,2,2,4,396.149,166.076,3,73.58
0,10,10,1,1.598,3,2,1,38,10,7,1,4,4,6,518.217,218.883,3,106.36
0,19,15,2,2.953,13,3,6,64,18,8,6,3,3,6,895.321,372.184,5,237.48
0,11,11,2,11.381,19,2,1,66,11,7,1,3,3,5,904.524,390.527,4,143.25
0,8,7,2,4.345,4,2,2,35,7,6,2,2,2,4,487.13,205.503,4,93.45
0,8,8,1,3.087,4,3,2,34,8,6,2,2,2,5,454.164,194.42,4,106.34
0,7,7,1,2.348,2,2,2,29,7,5,2,2,2,4,392.137,165.752,3,101.65
0,11,9,1,2.327,7,2,1,40,10,6,1,3,3,5,566.22,232.787,3,122.04
0,8,8,2,3.63,5,2,1,36,8,6,1,2,2,4,481.164,205.978,4,103.01
0,13,11,2,2.603,7,2,1,46,12,7,1,3,3,5,646.21,265.342,4,140.5
0,11,9,2,2.727,6,2,1,43,10,7,1,3,3,5,600.204,248.75,4,122.04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,8,7,1,3.042,5,2,2,33,7,5,2,2,2,4,469.177,197.756,3,93.45
0,7,7,1,2.514,3,2,2,30,7,5,2,2,2,4,404.137,171.428,3,101.65
0,10,9,1,4.257,5,2,1,44,10,7,1,4,4,6,598.279,255.431,3,114.2
1,23,15,2,0.506,22,2,7,75,22,8,7,4,3,5,1035.414,428.392,4,302.63
0,11,9,2,2.895,5,2,1,43,10,7,1,3,3,5,600.204,248.75,4,122.04
0,9,8,1,2.462,1,2,1,30,8,6,1,3,3,5,426.062,174.118,3,99.88
0,7,7,0,1.475,1,3,1,26,7,5,1,2,2,5,349.106,147.448,3,94.31
0,20,17,1,3.383,28,3,3,67,19,8,3,4,4,7,946.426,393.175,4,217.51
0,13,10,1,4.033,13,2,3,49,12,7,3,4,4,6,687.273,287.632,3,157.72
0,8,8,1,2.48,2,3,1,32,8,6,1,2,2,5,428.148,182.258,4,99.24
0,8,6,1,2.748,1,2,1,29,6,5,1,2,2,4,398.108,162.924,3,81.42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,10,8,1,0.687,3,2,5,32,10,5,3,2,2,4,432.155,181.399,3,158.18
0,12,11,1,4.057,8,2,2,46,11,6,2,3,3,5,646.246,270.465,3,140.06
0,8,8,2,3.7,5,2,2,36,8,6,2,2,2,4,483.179,206.679,4,102.68
0,7,7,2,4,4,2,2,35,7,6,2,2,2,4,467.185,201.565,4,93.45
0,14,11,1,3.387,13,2,4,50,13,7,4,4,4,6,703.268,292.426,3,177.95
0,12,9,2,3.24,5,2,1,43,10,7,1,3,3,5,620.15,252.688,4,122.04
0,9,9,1,1.812,6,2,2,33,9,5,2,2,2,4,449.159,188.445,3,123.24
0,6,6,1,2.08,1,2,1,26,6,5,1,2,2,4,348.111,148.228,3,81.42
0,10,8,1,3.177,3,2,2,40,10,6,2,3,3,5,545.24,231.091,3,133.66
0,9,7,1,0.403,7,3,1,39,8,6,1,2,2,5,591.137,236.166,4,94.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,7,7,2,4.139,3,2,1,35,7,6,1,2,2,4,465.169,200.911,4,93.78
0,12,10,3,5.058,6,2,2,48,12,7,2,2,2,4,646.206,273.632,5,149.29
0,9,8,1,1.421,3,2,3,32,9,5,3,2,2,4,435.143,181.829,3,130.75
0,14,9,1,2.039,4,2,7,47,13,7,1,4,4,6,676.288,278.351,3,208.7
0,12,10,1,2.442,3,2,1,40,10,7,1,4,4,6,590.17,243.189,3,106.36
0,12,10,2,2.595,6,2,1,44,11,7,1,3,3,5,616.199,253.863,4,131.27
0,11,9,3,3.739,5,2,1,46,10,8,1,3,3,5,636.204,265.066,5,122.04
0,13,10,1,4.299,8,3,1,43,10,6,1,2,2,5,596.188,242.638,4,125.66
0,12,10,1,2.648,5,3,1,41,10,7,1,3,3,6,592.145,240.025,4,122.04
0,11,9,2,2.586,5,2,1,42,10,7,1,3,3,5,586.189,242.385,4,122.04
0,8,8,1,3.1,3,2,2,33,8,5,2,2,2,4,450.179,189.961,3,110.88
0,11,11,1,2.639,5,2,0,38,11,5,0,2,2,4,520.148,215.814,3,140.09
0,8,7,2,3.831,4,2,2,35,7,6,2,2,2,4,471.159,199.366,4,93.45
0,7,7,1,2.393,4,2,2,30,7,5,2,2,2,4,406.153,172.117,3,101.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,7,7,1,3.142,2,3,1,32,7,6,1,2,2,5,425.138,182.505,4,94.31
0,11,11,1,3.251,7,4,1,41,11,7,1,2,2,6,552.212,233.983,5,134.25
0,17,14,1,3.69,15,4,4,57,17,7,4,2,2,6,781.307,326.035,5,206.27
0,7,7,1,3.321,6,2,1,32,7,5,1,2,2,4,436.2,186.119,3,82.81
0,11,6,1,4.093,4,2,1,34,6,5,1,2,2,4,482.126,189.103,3,73.58
0,6,6,1,3.694,4,2,1,30,6,5,1,2,2,4,406.189,174.64,3,73.58
0,8,8,1,2.941,7,2,1,33,8,5,1,2,2,4,452.195,191.232,3,92.04
0,10,10,1,2.068,4,2,1,35,10,5,1,2,2,4,478.138,198.603,3,134.02
0,7,7,1,3.808,2,3,1,31,6,6,1,2,2,5,430.099,180.926,4,81.42
0,8,8,1,1.808,1,2,1,29,8,6,1,3,3,5,392.101,163.814,3,99.88
0,13,11,1,2.703,6,3,2,40,11,6,2,2,2,5,581.093,231.471,4,153.89
0,7,7,3,4.845,4,2,2,38,7,7,2,2,2,4,503.185,217.882,5,93.45
0,11,9,1,4.679,5,2,1,45,10,7,1,4,4,6,634.256,267.584,3,114.2
0,7,7,1,3.041,3,2,0,30,7,5,0,2,2,4,404.137,171.804,3,87.49
0,19,16,1,2.48,15,4,4,57,19,7,4,2,2,6,783.298,324.474,5,232.05
1,7,7,1,3.502,4,2,2,34,7,6,2,3,2,4,459.216,197.327,3,93.45
0,8,8,1,1.932,3,2,2,30,8,5,2,2,2,4,408.132,170.866,3,110.88
0,7,7,1,1.662,1,2,3,27,7,5,2,2,2,4,363.122,153.568,3,107.44
0,8,8,1,3.229,3,2,1,33,8,5,1,2,2,4,447.179,190.016,3,103.01
0,6,6,1,2.08,1,2,1,26,6,5,1,2,2,4,348.111,148.228,3,81.42
0,7,7,1,2.282,2,2,1,29,7,5,1,2,2,4,390.122,165.12,3,98.49
0,8,8,1,3.547,5,2,1,35,8,6,1,3,3,5,476.195,202.004,3,99.88
0,8,7,1,-2.731,4,2,2,28,7,4,2,1,1,3,388.104,182.122,3,115.48
1,8,7,1,2.473,1,2,3,32,7,6,2,3,2,4,435.159,182.188,3,107.44
0,18,15,1,3.232,17,4,4,60,18,7,4,2,2,6,824.349,344.525,5,209.51
0,11,9,1,3.611,7,2,3,44,11,6,3,3,3,5,604.29,255.236,3,145.43
0,20,18,2,3.317,15,4,2,72,20,10,2,4,4,8,980.323,409.073,6,251.64
0,8,7,1,-2.731,4,2,2,28,7,4,2,1,1,3,388.104,182.122,3,115.48
0,8,8,1,2.48,2,3,1,32,8,6,1,2,2,5,428.148,182.258,4,99.24
0,8,8,1,2.322,4,2,2,31,8,5,2,2,2,4,422.148,177.231,3,110.88
0,21,17,1,4.348,19,5,5,68,21,8,5,2,2,7,933.366,388.431,6,249.53
1,10,9,1,2.828,4,2,1,40,10,7,1,4,3,5,541.185,228.373,3,128.03
0,7,7,1,3.142,2,3,1,32,7,6,1,2,2,5,425.138,182.505,4,94.31
0,8,7,1,3.563,2,3,1,33,7,6,1,2,2,5,461.114,194.658,4,94.31
0,7,7,1,2.931,5,2,1,31,7,5,1,2,2,4,422.184,179.754,3,82.81
0,10,9,1,2.84,7,2,1,34,10,5,1,2,2,4,467.169,194.407,3,125.95
0,9,9,1,3.642,3,3,1,37,9,7,1,3,3,6,498.19,211.825,4,108.47
0,12,10,3,5.058,6,2,2,48,12,7,2,2,2,4,646.206,273.632,5,149.29
0,12,10,1,4.255,2,2,2,42,12,5,2,2,2,4,578.238,241.708,3,149.29
