,PC1,PC2,PC3,PC4,PC5,PC6
Num Aliphatic Carbocycles,0.039601025140570026,0.24121254274362655,10.405805707834297,43.723272364768064,21.89387441166291,18.761777863830908
Num Heteroatoms,7.824794488382973,1.240341660803395,0.5433687046999321,0.16239737413320982,0.6369862180634686,0.2583956698133013
Num Hydrogen Bond Acceptor,7.873923671888394,0.2108419514382021,0.5998792248119477,1.8559821415620241,0.33759838013704285,1.5295557658285441
Num Aromatic Carbocycles,1.7863466321770782,0.8317307740247276,25.677941760722227,15.544758789328409,0.16864320173740135,11.714704564635511
LogP,2.004301423778183,0.9410626995037017,20.747121330687868,3.8536720090427488,3.0669880045251303,13.334545968138869
Num Rotatable Bonds,5.326282047978668,2.880165514025867,0.6298310013717071,1.581633264742413,13.014629452782295,15.000994587820077
Num Aromatic Heterocycles,4.180367983570157,0.2725593999064611,0.4278644632649763,19.079926331606043,31.381317040259816,2.428479506529219
Num Lipinski HB Donor,3.284301309761337,12.901025167500176,5.951379318466443,1.411247277474606,0.6136475455586263,16.43939237349676
Num Atoms,8.418385139247865,0.020347496855819935,0.44171193499552,0.2618413959954914,0.7570558507050449,0.9936319083220386
Num Lipinski HB Acceptor,7.860659213157387,0.7674630534911502,1.4961520597531721,0.6644750553977004,0.33415422163981834,0.29870823715368244
Num Rings,6.75293207270993,6.155143882192744,1.3708019176152542,1.0956805557721805,3.7462268297361088,2.2738206380534516
Num Hydrogen bond Donor,4.200274719280796,13.877629613050631,2.546833249927745,0.17480081429750827,0.0019902321759574675,6.094424238045586
Num Aliphatic Rings,2.8913378087214063,20.900602900260886,6.7520740709296385,5.166784867503618,1.0008210834988245,1.3125966696529863
Num Aliphatic Heterocycles,2.9040053597962867,23.35053621246361,3.5754672393309574,0.5310133291741762,4.724025517729838,5.010286072107898
Num Heterocycles,5.414427482657637,12.617876763607663,0.7998873574700296,4.128244209310829,3.1409688129252165,0.367267994030006
Mol Wt,8.294338218821785,0.10579211431897496,0.41346342621502413,0.32591296586720697,1.3357195004405118,0.9415363384659269
Labute ASA,8.330121326958666,0.05050089650567341,0.48236842991586915,0.28417748961566514,1.1400842684306662,1.0338007287502626
Num Aromatic Rings,5.2115192557342285,0.06001516821118835,14.404382901723665,0.1493003315985154,12.705257936579189,1.4255043952617348
Topological Polar SA,7.402080820236656,2.5751521890955096,2.7336659002637003,0.0048794328096037325,1.1491412130722118e-05,0.7805764800632435
