Factor,Eigenvalue
Num Aliphatic Carbocycles,11.458719679973926
Num Heteroatoms,2.2199728746471172
Num Hydrogen Bond Acceptor,1.8929701655028097
Num Aromatic Carbocycles,1.1100463761999249
LogP,0.8606515884054202
Num Rotatable Bonds,0.6194465984726056
Num Aromatic Heterocycles,0.4471204416506838
Num Lipinski HB Donor,0.1814517420238152
Num Atoms,0.08799843831022654
Num Lipinski HB Acceptor,0.0605280704840415
Num Rings,0.026436328477046772
Num Hydrogen bond Donor,0.02180956738053244
Num Aliphatic Rings,0.009158823149981562
Num Aliphatic Heterocycles,0.0030375974251611367
Num Heterocycles,0.0006517078967045899
Mol Wt,5.944400144669619e-15
Labute ASA,1.843937485898627e-15
Num Aromatic Rings,-4.5085895706422845e-15
Topological Polar SA,-1.0425844486324263e-14
