Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
3,22,16,3,9.639,12,0,1,73,16,7,1,4,1,1,1126.107,448.839,3,213.56
3,17,16,1,4.196,10,1,3,65,17,8,3,6,3,4,905.431,378.939,2,210.74
3,11,11,3,4.419,7,0,3,53,11,7,3,4,1,1,726.304,307.429,3,165.89
3,14,13,3,3.958,10,0,4,60,14,7,4,4,1,1,825.336,347.359,3,204.22
3,20,19,1,4.823,15,0,4,67,18,5,4,4,1,1,979.369,398.448,1,248.98
3,24,23,1,4.889,27,0,4,79,22,5,4,4,1,1,1155.474,469.821,1,285.9
3,17,16,1,3.527,11,1,4,65,17,8,4,6,3,4,907.447,379.572,2,213.9
4,15,14,1,5.366,12,1,4,63,15,8,4,6,2,3,875.457,369.454,2,193.23
4,17,16,1,4.672,11,1,4,63,16,7,4,5,1,2,895.345,369.131,2,230.52
4,15,14,1,4.976,12,1,4,62,15,8,4,6,2,3,861.441,363.089,2,193.23
3,19,18,3,3.25,14,0,5,70,19,7,5,4,1,1,971.358,402.528,3,277.05
3,14,13,3,4.096,11,0,4,61,14,7,4,4,1,1,839.352,353.724,3,204.22
3,17,16,3,4.194,9,0,3,66,17,8,3,5,2,2,911.336,380.156,3,228.75
3,24,23,1,4.889,27,0,4,79,22,5,4,4,1,1,1155.474,469.821,1,285.9
3,16,15,3,5.057,9,0,3,68,16,8,3,5,2,2,939.404,395.089,3,211.68
3,14,13,2,3.482,8,0,5,56,14,6,5,4,1,1,779.352,325.664,2,207.38
3,21,15,3,9.481,11,0,1,69,15,7,1,4,1,1,1074.112,426.627,3,196.49
3,18,17,1,4.805,13,0,4,63,16,5,4,4,1,1,919.348,375.491,1,230.52
3,17,16,2,4.126,8,0,3,64,17,7,3,5,2,2,893.383,371.511,2,220.91
3,17,16,1,4.617,11,1,3,63,16,8,3,6,3,4,897.408,372.418,2,193.67
3,15,14,3,3.736,10,0,4,62,15,7,4,4,1,1,853.331,357.885,3,221.29
4,16,15,1,5.037,12,1,4,61,15,8,4,6,2,3,867.398,360.729,2,193.23
3,16,15,2,4.492,11,1,3,67,16,9,3,6,3,4,923.42,389.788,3,201.51
3,15,14,3,3.592,10,0,4,62,15,7,4,4,1,1,853.331,357.885,3,221.29
3,20,18,1,4.626,13,0,4,69,18,6,4,5,2,2,1003.417,411.464,1,237
3,17,16,1,4.617,11,1,3,63,16,8,3,6,3,4,897.408,372.418,2,193.67
3,15,14,2,4.568,10,0,3,60,15,6,3,4,1,1,835.378,349.559,2,202.45
3,16,15,2,5.191,10,0,3,66,16,8,3,6,3,3,918.451,386.084,2,197.85
3,16,15,1,4.847,11,1,3,60,15,7,3,5,2,3,855.398,355.58,2,184.44
3,14,14,5,7.911,15,0,2,75,14,9,2,4,1,1,1016.398,434.547,5,206.1
3,12,12,5,7.917,9,0,2,67,12,9,2,4,1,1,904.346,387.364,5,171.96
3,11,11,3,4.499,6,0,3,53,11,7,3,4,1,1,724.288,306.739,3,165.89
3,17,16,1,4.565,12,1,3,66,17,8,3,6,3,4,921.462,386.256,2,202.9
3,18,17,1,3.657,10,0,3,62,18,6,3,5,2,2,871.363,358.758,1,245.82
3,16,15,1,4.847,11,1,3,60,15,7,3,5,2,3,855.398,355.58,2,184.44
3,14,13,1,5.064,10,0,3,59,14,6,3,5,2,2,828.477,349.123,1,171.55
3,30,29,1,4.989,45,0,4,97,28,5,4,4,1,1,1419.632,576.882,1,341.28
3,20,19,1,4.823,15,0,4,67,18,5,4,4,1,1,979.369,398.448,1,248.98
3,18,14,2,0.786,8,0,11,61,18,6,5,4,1,1,861.378,352.633,2,318.95
3,14,14,3,5.719,10,0,1,63,14,7,1,4,1,1,862.32,364.062,3,195.1
