Factor,Eigenvalue
Num Aliphatic Carbocycles,7.358757788908222
Num Heteroatoms,4.437564524387508
Num Hydrogen Bond Acceptor,3.3318023772834358
Num Aromatic Carbocycles,1.5361240117022368
LogP,1.0806642184696593
Num Rotatable Bonds,0.46126504140977387
Num Aromatic Heterocycles,0.3548880667479248
Num Lipinski HB Donor,0.2705407199558097
Num Atoms,0.10641877677681932
Num Lipinski HB Acceptor,0.03036015249541415
Num Rings,0.016986447354508976
Num Hydrogen bond Donor,0.008083319875663941
Num Aliphatic Rings,0.005953935637216789
Num Aliphatic Heterocycles,0.0005583168071252281
Num Heterocycles,3.2302188680737114e-05
Mol Wt,1.4933947793964417e-15
Labute ASA,4.769358605873796e-16
Num Aromatic Rings,-2.172747767711893e-16
Topological Polar SA,-7.683129057320743e-16
