Column Title,Mean,Standard Deviation
Num Aliphatic Carbocycles,3.078125,0.27048970875004197
Num Heteroatoms,16.5,3.246487723630345
Num Hydrogen Bond Acceptor,15.3125,2.8445157481142274
Num Aromatic Carbocycles,1.875,1.0910894511799618
LogP,4.8311093750000005,1.4755532738731252
Num Rotatable Bonds,11.5625,5.465258239008255
Num Aromatic Heterocycles,0.34375,0.47871355387816905
Num Lipinski HB Donor,3.234375,1.4336343814524468
Num Atoms,64.03125,6.845155279002134
Num Lipinski HB Acceptor,15.78125,2.5910024412944215
Num Rings,6.984375,1.076328083279974
Num Hydrogen bond Donor,3.140625,1.0670711658628365
Num Aliphatic Rings,4.765625,0.8307997199103853
Num Aliphatic Heterocycles,1.6875,0.7943251103624894
Num Heterocycles,2.03125,1.1542708823500962
Mol Wt,902.67459375,113.27915438808661
Labute ASA,375.397359375,43.10482708002618
Num Aromatic Rings,2.21875,0.9166666666666666
Topological Polar SA,211.0271875,33.93393560456964
