Active Ingredient,Drug Class,SMILES,# Atoms,Length,ERROR_STATUS,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
ERYTHROMYCIN STEARATE,,CCCCCCCCCCCCCCCCCC(O)=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,71,198,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,-3.067,0.864,3.179,1,0.996,0.048,0.004,0.041,-5.514,0.000119,0.004,65.61%,0.756,31.28%,0.002,0.224,0.006,0.911,0.002,0.024,0.003,0.097,0.077,0.792,6.396,0.863,0.155,0.894,0.961,0.093,0.047,0.005,0.086,0.062,0.003,0.008,0.225,0.835,3.971,5.505,6.662,0.107,0.093,0,0.004,0.548,0.038,0.023,0.093,0.01,0.003,0.353,0.504,733.46,742.835,0.987,14,5,193.91,7,3,14,14,0,28,0.25,18,0,0,0,0,3,2,1,1,0.238,6.088,0.946,93,1.895,1,0,0,0,Rejected,Accepted,Rejected,Rejected
ICATIBANT ACETATE,,CC(O)=O.N[C@H](CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N2C[C@H](O)CC2C(=O)NCC(=O)N[C@@H](Cc3sccc3)C(=O)N[C@@H](CO)C(=O)N4Cc5ccccc5CC4C(=O)N6[C@H]7CCCC[C@H]7CC6C(=O)N[C@@H](CCCN=C(N)N)C(O)=O,96,196,SUCCESS,N=C(N)NCCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1C[C@H](O)CC1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C[C@@H]2CCCC[C@@H]21,-2.734,-1.585,-2.089,0,0.976,0.999,1,1,-6.76,0.00018,0.024,23.75%,0.386,54.05%,0,0.001,0.008,0.015,0.026,0.001,0,0.098,0.021,0,0.848,0.353,0.024,0.99,0.728,0.003,0.509,0.98,0.254,0.021,0.003,0,0.162,-0.431,2.783,3.82,3.425,0.172,0,0.003,0.001,0.414,0.114,0.001,0.291,0.001,0,0.123,0.006,1303.66,1263.389,1.032,32,22,521.22,40,7,10,33,0,49,0.816,12,0,0,0,0,0,1,0,4,0.02,6.447,0.61,180.2,-0.067,1,0,0,0,Rejected,Accepted,Rejected,Rejected
EVEROLIMUS,,CO[C@@H]1C[C@@H](CC[C@H]1OCCO)C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)/[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC,68,195,SUCCESS,COC1C(=O)C(C)C[C@H](C)/C=C/C=C\C=C(/C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCCC2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)C(C)=CC(C)[C@H]1O,-4.718,3.658,5.296,1,0.989,0.631,0.225,0.348,-4.797,4.98E-05,0.005,94.43%,1.424,4.99%,0,0.075,0.013,0.749,0.007,0.003,0.003,0.048,0.923,0.769,8.543,0.019,0.682,0.999,0.97,0.018,0.995,0.944,0.96,0.093,0.003,0.006,0.502,0.88,5.022,3.442,5.75,0.002,0.036,0.003,0.856,0.16,0.043,0.223,0.95,0.007,0.029,0.738,0.883,957.58,1001.35,0.956,15,3,204.66,9,4,35,15,0,49,0.184,15,0,0,1,0,2,4,3,3,0.174,7.358,0.755,94.688,1.877,2,0,0,0,Rejected,Accepted,Rejected,Rejected
VINORELBINE TARTRATE,,CCC1=CC2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC.O[C@H]([C@@H](O)C(O)=O)C(O)=O.O[C@H]([C@@H](O)C(O)=O)C(O)=O,77,194,SUCCESS,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,-4.997,3.784,4.449,0.81,0.995,0.876,0.085,0.997,-5.515,2.00E-05,0.504,85.52%,2.049,11.92%,0.009,0.957,0.426,0.913,0.267,0.229,0.974,0.856,0.968,0.939,2.142,0.021,0.808,0.926,0.079,0.094,0.939,0.97,0.017,0.871,0.003,0.005,0.932,1.238,4.698,6.373,6.21,0.001,0.111,0.28,0.322,0.289,0.714,0.027,0.656,0.995,0.647,0.927,0.998,778.39,792.539,0.982,12,2,133.87,10,9,18,12,0,47,0.213,9,0,0,1,0,0,0,0,2,0.196,6.661,0.533,257.217,1.55,1,0,0,0,Rejected,Accepted,Rejected,Rejected
ERYTHROMYCIN ETHYLSUCCINATE,,CCOC(=O)CCC(=O)O[C@H]1[C@@H](C[C@H](C)O[C@@H]1O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)N(C)C,60,191,SUCCESS,CCOC(=O)CCC(=O)O[C@@H]1[C@@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)C(C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)C(C)C(=O)C(C)C[C@@]2(C)O)O[C@@H](C)C[C@H]1N(C)C,-3.753,1.247,3.716,1,0.997,0.019,0.001,0.037,-5.228,0.000181,0.004,60.50%,1.208,35.25%,0.001,0.066,0.011,0.794,0.006,0.011,0.004,0.058,0.462,0.836,7.537,0.815,0.468,0.952,0.955,0.067,0.027,0.006,0.085,0.065,0.003,0.006,0.033,0.87,4.179,5.104,7.164,0.125,0.139,0.001,0.01,0.549,0.037,0.173,0.258,0.008,0.007,0.236,0.899,861.51,867.709,0.993,17,4,226.28,14,3,14,17,0,30,0.467,18,0,0,0,0,3,2,1,2,0.163,6.297,0.907,95.463,1.629,1,0,0,0,Rejected,Accepted,Rejected,Rejected
DIGOXIN,,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,55,189,SUCCESS,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(c8coc(O)c8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-4.57,3.058,3.312,0.001,1,0.041,0.001,0.011,-5.963,0.000138,0.081,87.24%,0.266,9.02%,0.001,0.952,0.006,0.482,0.012,0.022,0.012,0.102,0.128,0.692,2.656,0.192,0.7,0.296,0.029,0.129,0.893,0.99,0.675,0.734,0.003,0.007,0.974,0.756,3.621,4.959,5.147,0.074,0.995,0.001,0.791,0.979,0.479,0.978,0.864,0.337,0.01,0.96,0.993,780.43,767.03,1.017,14,7,210.13,7,8,17,14,0,43,0.163,21,0,0,0,0,1,1,3,1,0.198,6.221,0.902,202.487,1.985,0,0,0,0,Rejected,Accepted,Rejected,Rejected
DIRITHROMYCIN,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]4N[C@@H](COCCOC)O[C@H]([C@H]4C)[C@]1(C)O,58,189,SUCCESS,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,-4.585,3.21,3.649,1,0.783,0.075,0.996,0.979,-5.602,0.000125,0.002,46.16%,0.43,32.79%,0.001,0.209,0.009,0.909,0.002,0.004,0.001,0.087,0.219,0.898,3.7,0.627,0.853,0.695,0.962,0.304,0.06,0.007,0.115,0.041,0.003,0.006,0.825,1.613,4.071,5.967,6.972,0.004,0.033,0,0.011,0.399,0.065,0.014,0.423,0.003,0.002,0.643,0.822,834.55,843.182,0.99,16,5,196.33,12,4,16,16,0,31,0.387,20,0,0,0,0,2,1,1,3,0.142,7.319,0.976,102.169,1.407,1,0,0,0,Rejected,Accepted,Rejected,Rejected
TROLEANDOMYCIN,,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1OC(C)=O)O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]4(CO4)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C,57,189,SUCCESS,CO[C@H]1C[C@H](O[C@@H]2C(C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)C(C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,-4.629,3.388,4.148,1,0.966,0.022,0,0.087,-5.314,0.000239,0.003,73.50%,1.998,21.72%,0.002,0.067,0.011,0.888,0.01,0.002,0.118,0.084,0.729,0.919,5.135,0.345,0.271,0.791,0.982,0.195,0.098,0.011,0.261,0.187,0.006,0.011,0.825,1.34,4.898,5.559,6.849,0.02,0.501,0.002,0.001,0.567,0.287,0.024,0.28,0.006,0.005,0.191,0.954,813.45,813.134,1,16,0,184.19,12,4,14,16,0,34,0.353,18,1,0,5,2,4,3,3,3,0.187,6.744,0.878,135.714,1.385,1,1,0,0,Rejected,Accepted,Rejected,Rejected
ACETYLDIGITOXIN,,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,57,187,SUCCESS,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)C(c8coc(O)c8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,-4.687,3.722,4.497,0.002,0.999,0.013,0,0.003,-5.574,0.000163,0.029,92.83%,0.372,8.83%,0.001,0.813,0.008,0.541,0.065,0.022,0.028,0.107,0.27,0.784,1.937,0.11,0.893,0.282,0.464,0.638,0.954,0.989,0.852,0.307,0.003,0.007,0.969,1.294,4.425,6.092,6.371,0.005,0.997,0.001,0.814,0.975,0.486,0.986,0.873,0.76,0.042,0.963,0.998,806.45,798.986,1.009,14,5,195.97,9,8,17,14,0,44,0.205,20,0,0,0,0,1,1,3,2,0.178,6.144,0.884,200.877,1.987,0,0,0,0,Rejected,Accepted,Rejected,Rejected
FOSAPREPITANT DIMEGLUMINE,,C[NH2+]C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[NH2+]C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)[P]([O-])([O-])=O)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,67,187,SUCCESS,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n([PH](=O)(=O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-3.037,2.623,2.074,0.571,0.032,0.005,0.01,0.005,-5.59,1.14E-05,0.777,95.96%,0.935,1.49%,0.019,0.441,0.174,0.06,0.874,0.174,0.032,0.055,0.128,0.565,0.847,0.768,0.058,0.969,0.972,0.435,0.17,0.852,0.07,0.758,0.003,0.007,0.369,0.78,3.783,4.506,6.525,0.085,0.005,0.046,0.005,0.099,0.014,0.014,0.516,0.005,0.005,0.06,0.024,614.12,510.075,1.204,10,2,126.75,9,4,6,18,0,26,0.346,3,1,0,0,1,3,1,3,0,0.294,4.628,0.391,107.25,-0.708,0,1,0,0,Accepted,Accepted,Rejected,Rejected
