Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA,SMILES
1,13,13,2,1.339,5,0,3,42,13,7,3,5,4,4,588.184,240.229,2,160.83,COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
1,13,13,2,1.339,5,0,3,42,13,7,3,5,4,4,588.184,240.229,2,160.83,COc1cc(cc(c1O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@H]1O[C@H]2CO[C@@H](O[C@@H]2[C@H]([C@@H]1O)O)C
1,28,19,2,8.263,11,0,2,65,19,6,2,4,3,3,1097.897,413.029,2,228.73,COc1cc(cc(c1OC(=O)OCC(Cl)(Cl)Cl)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc(O)c(c2)O)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1OC(=O)OCC(Cl)(Cl)Cl)OC(=O)OCC(Cl)(Cl)Cl)C
1,17,14,2,1.104,7,0,4,46,16,7,4,5,4,4,668.151,261.687,2,207.36,COc1cc(cc(c1OP(=O)(O)O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
1,19,18,2,-1.096,8,0,6,54,19,8,6,6,5,5,764.216,306.185,2,257.05,COc1cc(cc(c1O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@@H](c2c1cc1OCOc1c2)O[C@@H]1O[C@@H]2CO[C@H](O[C@H]2[C@@H]([C@H]1O)O)C
0,15,11,1,-0.589,7,0,3,40,13,5,2,4,4,4,594.145,234.535,1,182.48,O=C([C@@H](c1ccccc1)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C)(C)C
0,15,12,0,-0.728,9,1,2,30,12,3,2,2,2,3,471.045,183.287,1,163.33,N#CCSCC(=O)N[C@]1(OC)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C
0,12,6,1,0.094,5,0,4,32,11,4,4,3,3,3,461.137,187.417,1,148.15,O=C([C@@H](c1ccccc1)NC(=O)N1CCNC1=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,13,10,0,-1.28,7,1,3,32,11,4,2,3,3,4,480.125,192.408,1,150.04,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[N+]1(C)CCCC1
1,8,5,0,0.349,4,0,4,24,7,3,3,3,2,2,349.11,143.179,0,112.73,O=C([C@@H](C1=CCC=CC1)N)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C
0,9,6,1,0.949,5,0,2,26,8,3,2,2,2,2,380.104,154.373,1,105.17,COc1cccc(c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)OC
0,10,7,0,-0.798,5,0,2,23,9,2,2,2,2,2,339.053,134.797,0,136.8,CC(=O)OCC1=C(N2[C@H](SC1)[C@@H](C2=O)NC(=O)CC#N)C(=O)O
0,8,5,1,0.318,4,0,4,24,7,3,3,2,2,2,349.11,143.121,1,112.73,N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,14,10,0,-0.545,8,1,5,30,12,3,4,2,2,3,453.041,176.615,1,184.51,Nc1nc(cs1)/C(=N/OCC(=O)O)/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C
0,7,4,0,-0.795,1,0,1,15,6,2,1,2,2,2,233.036,86.785,0,91.75,OC(=O)[C@@H]1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C
0,8,5,1,0.697,5,0,2,24,7,3,2,2,2,2,350.094,142.894,1,95.94,O=C(N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)COc1ccccc1
0,11,8,2,2.628,10,0,4,40,10,4,3,2,2,2,570.251,238.773,2,142.27,O=C(N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)Cc1ccccc1.CCN(CCOC(=O)c1ccc(cc1)N)CC
0,9,7,1,0.84,6,0,1,28,8,3,1,2,2,2,406.12,166.47,1,102.01,CC(=O)OCOC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)Cc1ccccc1
0,10,5,1,2.313,5,0,2,27,7,3,2,2,2,2,432.031,169.866,1,95.94,COC(c1ccc(c(c1)Cl)Cl)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,20,14,1,-0.182,13,1,7,50,17,5,6,3,3,4,751.15,297.848,2,256.9,O=C1[C@@H](NC(=O)/C(=N\OC(C(=O)O)(C)C)/c2csc(n2)N)[C@@H]2N1C(=C(CS2)C[N+]1(CCCC1)CCNC(=O)c1ccc(c(c1Cl)O)O)C(=O)[O-]
